Applicant Name,Funding Band,Amount,Year,Period,Type
University of Warwick,2,492113,2016,2015-2018,Fund
Unlimited Theatre,1,166118,2016,2015-2018,Fund
UP Projects,1,100580,2016,2015-2018,Fund
Upswing Aerial Limited,1,115667,2016,2015-2018,Fund
Urban Development Ltd,1,150870,2016,2015-2018,Fund
Vamos Theatre Company,1,0,2016,2015-2018,Fund
Vane Contemporary Art Limited,1,60406,2016,2015-2018,Fund
Venture Arts,1,0,2016,2015-2018,Fund
Vincent Dance Theatre,1,261762,2016,2015-2018,Fund
Vital Xposure,1,100580,2016,2015-2018,Fund
Viva Chamber Orchestra Ltd,1,192106,2016,2015-2018,Fund
Vivid Projects,1,0,2016,2015-2018,Fund
VocalEyes,SSO,175810,2016,2015-2018,Fund
Voluntary Arts Network,SSO,95826,2016,2015-2018,Fund
Wakefield Council – Museums,1,0,2016,2015-2018,Fund
Walk The Plank,1,145656,2016,2015-2018,Fund
Walsall Council,2,881487,2016,2015-2018,Fund
Wasafiri Ltd,1,59413,2016,2015-2018,Fund
Watermill Theatre,2,450385,2016,2015-2018,Fund
Watershed Arts Trust Ltd,2,744289,2016,2015-2018,Fund
Waterside Artists Co-operative Limited,1,67078,2016,2015-2018,Fund
Watts Gallery Trust,1,0,2016,2015-2018,Fund
Wavendon Allmusic Plan Ltd,2,379222,2016,2015-2018,Fund
Welsh National Opera,3,6123000,2016,2015-2018,Fund
West Yorkshire Print Workshop,1,54366,2016,2015-2018,Fund
Whitechapel Gallery,3,1510168,2016,2015-2018,Fund
Whitstable Biennale,1,0,2016,2015-2018,Fund
Wiltshire Music Centre Trust Ltd,1,101675,2016,2015-2018,Fund
Wired Aerial Theatre Ltd,1,165000,2016,2015-2018,Fund
Wise Children,2,0,2016,2015-2018,Fund
Without Walls,3,0,2016,2015-2018,Fund
Wolverhampton City Council,1,127755,2016,2015-2018,Fund
Woodhorn Charitable Trust,1,0,2016,2015-2018,Fund
Workplace Foundation,1,105409,2016,2015-2018,Fund
World Heart Beat Music Academy,1,0,2016,2015-2018,Fund
Writers' Centre Norwich,2,466405,2016,2015-2018,Fund
Writing East Midlands,1,125724,2016,2015-2018,Fund
Writing on the Wall,1,76661,2016,2015-2018,Fund
Writing West Midlands,1,181043,2016,2015-2018,Fund
Wysing Arts Centre,2,399768,2016,2015-2018,Fund
Yaram Arts CIC,1,79900,2016,2015-2018,Fund
Yellow Earth Theatre Company,1,0,2016,2015-2018,Fund
York Citizen's Theatre Trust,2,587254,2016,2015-2018,Fund
York Museums Trust,SSO,338982,2016,2015-2018,Fund
York Museums Trust,3,1230000,2016,2015-2018,Fund
Yorkshire Artspace Society Ltd,1,71870,2016,2015-2018,Fund
Yorkshire Dance Centre Trust,2,325793,2016,2015-2018,Fund
Yorkshire Sculpture Park,3,1312646,2016,2015-2018,Fund
Young Vic Company,3,1760143,2016,2015-2018,Fund
Youth Music Theatre UK,1,150000,2016,2015-2018,Fund
Z-arts,2,0,2016,2015-2018,Fund
ZENDEH Productions,1,100677,2016,2015-2018,Fund
ZoieLogic Dance Theatre,1,0,2016,2015-2018,Fund
ZooNation Ltd,1,0,2016,2015-2018,Fund
1927,1,0,2017,2015-2018,Fund
2 Faced Dance Company Limited,1,192000,2017,2015-2018,Fund
20 Stories High,1,162905,2017,2015-2018,Fund
A New Direction London Limited,SSO,1506375,2017,2015-2018,Fund
A Space Arts,1,0,2017,2015-2018,Fund
AA2A Limited,SSO,0,2017,2015-2018,Fund
Abandon Normal Devices,1,135000,2017,2015-2018,Fund
Academy of Circus Arts and Physical Theatre t/a Circomedia,1,106552,2017,2015-2018,Fund
Access All Areas,1,0,2017,2015-2018,Fund
ACE Dance and music,2,221966,2017,2015-2018,Fund
acta community theatre ltd,1,80000,2017,2015-2018,Fund
Action Hero,1,0,2017,2015-2018,Fund
Action Space London Events,1,73416,2017,2015-2018,Fund
Action Transport Theatre,1,120696,2017,2015-2018,Fund
Activate Performing Arts Ltd,2,251422,2017,2015-2018,Fund
Actors Touring Company,1,207773,2017,2015-2018,Fund
Africa Oye Limited,1,163448,2017,2015-2018,Fund
AIR in G (Arts in Rural Gloucestershire) Ltd,1,42243,2017,2015-2018,Fund
Akademi,1,215000,2017,2015-2018,Fund
Akram Khan Dance Company,2,500610,2017,2015-2018,Fund
Albatross Arts Project,1,40231,2017,2015-2018,Fund
Almeida Theatre Company Limited,2,675499,2017,2015-2018,Fund
Amber Film & Photography Collective,1,0,2017,2015-2018,Fund
a-n The Artists Information Company,SSO,212754,2017,2015-2018,Fund
And Other Stories Publishing CIC,1,40000,2017,2015-2018,Fund
Applause Rural Touring,1,0,2017,2015-2018,Fund
Apples and Snakes,2,455000,2017,2015-2018,Fund
Arcola Theatre Production Company,2,301738,2017,2015-2018,Fund
Arena Theatre (University of Wolverhampton),1,110068,2017,2015-2018,Fund
Art Asia Trust Limited,1,95827,2017,2015-2018,Fund
Art Gene Limited,1,0,2017,2015-2018,Fund
Art Monthly,1,40232,2017,2015-2018,Fund
Art Services Grants Ltd,1,221221,2017,2015-2018,Fund
Artcore,1,0,2017,2015-2018,Fund
Artichoke Trust,2,468134,2017,2015-2018,Fund
Artlink Hull,1,65347,2017,2015-2018,Fund
Artlink West Yorkshire,1,60406,2017,2015-2018,Fund
ArtReach (Trust) Ltd,2,0,2017,2015-2018,Fund
Arts & Health South West,1,40000,2017,2015-2018,Fund
Arts & Health South West,SSO,0,2017,2015-2018,Fund
Arts & Heritage (PHC) Plymouth City Council,3,0,2017,2015-2018,Fund
Arts Alive,1,58781,2017,2015-2018,Fund
Arts Catalyst,1,130000,2017,2015-2018,Fund
Arts Connect (University of Wolverhampton),SSO,1089890,2017,2015-2018,Fund
Arts Marketing Association,SSO,0,2017,2015-2018,Fund
Arts&Heritage,SSO,0,2017,2015-2018,Fund
Artsadmin,2,533072,2017,2015-2018,Fund
Artsreach,1,55319,2017,2015-2018,Fund
Artswork,SSO,1519397,2017,2015-2018,Fund
Artworks Creative Communities,1,57496,2017,2015-2018,Fund
Arvon Foundation,2,388267,2017,2015-2018,Fund
Asian Arts Agency,2,280870,2017,2015-2018,Fund
Aspex Visual Arts Trust,1,112117,2017,2015-2018,Fund
Association for Cultural Enterprises,SSO,0,2017,2015-2018,Fund
Association of Independent Museums,SSO,0,2017,2015-2018,Fund
Attitude is Everything,SSO,208606,2017,2015-2018,Fund
Aurora Orchestra,1,91829,2017,2015-2018,Fund
Auto Italia,1,50290,2017,2015-2018,Fund
Autograph ABP,2,700000,2017,2015-2018,Fund
Avant Garde Dance Company,1,0,2017,2015-2018,Fund
B3 Media Limited,1,180000,2017,2015-2018,Fund
Baby People,1,48418,2017,2015-2018,Fund
Backlit,1,0,2017,2015-2018,Fund
Balbir Singh Dance Company,1,150460,2017,2015-2018,Fund
Ballet Black,1,0,2017,2015-2018,Fund
Ballet Lorent Limited,2,239566,2017,2015-2018,Fund
BalletBoyz Ltd,2,300000,2017,2015-2018,Fund
Baltic Flour Mills Visual Arts Trust,3,3158000,2017,2015-2018,Fund
Bamboozle Theatre Company,1,0,2017,2015-2018,Fund
Barbican Centre,2,480000,2017,2015-2018,Fund
"Barbican Theatre, Plymouth",1,119817,2017,2015-2018,Fund
Barnsley Civic Enterprise Ltd,1,160000,2017,2015-2018,Fund
Barnsley Museums,2,0,2017,2015-2018,Fund
Battersea Arts Centre,2,693897,2017,2015-2018,Fund
BCB,1,0,2017,2015-2018,Fund
BE FESTIVAL CIC,1,145000,2017,2015-2018,Fund
Beaford Arts,1,95893,2017,2015-2018,Fund
Beamish Museum,2,709583,2017,2015-2018,Fund
Beatfreeks,1,0,2017,2015-2018,Fund
Beavers Arts Ltd.,1,0,2017,2015-2018,Fund
Bedford Creative Arts,1,143740,2017,2015-2018,Fund
Belgrade Theatre Trust (Coventry) Ltd,2,942214,2017,2015-2018,Fund
Bermondsey Artists’ Group,1,134006,2017,2015-2018,Fund
Bernard Leach Trust Limited  (Leach Pottery),1,40000,2017,2015-2018,Fund
Berwick Film & Media Arts Festival,1,47913,2017,2015-2018,Fund
Bharatiya Vidya Bhavan Ltd,1,128999,2017,2015-2018,Fund
Eastside Projects,1,123415,2017,2015-2018,Fund
Birmingham Contemporary Music Group,2,319653,2017,2015-2018,Fund
Birmingham LGBT,1,0,2017,2015-2018,Fund
Birmingham Museums Trust,3,1007568,2017,2015-2018,Fund
Birmingham Opera Company,2,327644,2017,2015-2018,Fund
Birmingham Repertory Theatre,3,1833952,2017,2015-2018,Fund
Birmingham Royal Ballet,3,7891000,2017,2015-2018,Fund
Black Bird/Red Rose Productions,1,200000,2017,2015-2018,Fund
Black Country Living Museum Trust,2,886000,2017,2015-2018,Fund
Black Country Touring,1,143496,2017,2015-2018,Fund
Blackpool Grand Theatre (Arts & Entertainment) Ltd,1,159992,2017,2015-2018,Fund
Blast Theory,1,134157,2017,2015-2018,Fund
Blind Summit Education,1,75435,2017,2015-2018,Fund
Bloodaxe Books Ltd,1,92032,2017,2015-2018,Fund
Blue Elephant Theatre,1,0,2017,2015-2018,Fund
BOM (Birmingham Open Media),1,0,2017,2015-2018,Fund
Book Works,1,176512,2017,2015-2018,Fund
Borough of Poole Museum Service,2,0,2017,2015-2018,Fund
Boundless Theatre,1,186063,2017,2015-2018,Fund
Bournemouth Borough Council,1,150000,2017,2015-2018,Fund
Bournemouth Symphony Orchestra,3,2554790,2017,2015-2018,Fund
Bow Arts Trust,1,50290,2017,2015-2018,Fund
Boy Blue Entertainment,1,0,2017,2015-2018,Fund
Brass Bands England,SSO,142000,2017,2015-2018,Fund
Bridport Arts Centre,1,57412,2017,2015-2018,Fund
Brighton & Hove City Council,2,698507,2017,2015-2018,Fund
Brighton Dome & Festival Limited,3,1149921,2017,2015-2018,Fund
Bristol Cultural Development Partnership,1,50289,2017,2015-2018,Fund
Bristol Museums,3,1576082,2017,2015-2018,Fund
Bristol Music Trust,2,325000,2017,2015-2018,Fund
Bristol Old Vic and Theatre Royal Trust Ltd,3,1228381,2017,2015-2018,Fund
British Motor Industry Heritage Trust,1,0,2017,2015-2018,Fund
British Underground Ltd,1,151406,2017,2015-2018,Fund
British Youth Opera,1,42621,2017,2015-2018,Fund
Britten Sinfonia,2,399261,2017,2015-2018,Fund
Brownswood Music Ltd,1,89000,2017,2015-2018,Fund
b-side Multimedia Festival CIC,1,133651,2017,2015-2018,Fund
Bucks County Museum,1,0,2017,2015-2018,Fund
Bureau of Silly Ideas,1,40231,2017,2015-2018,Fund
Burnley Youth Theatre,1,63365,2017,2015-2018,Fund
Burton Art Gallery and Museum,1,0,2017,2015-2018,Fund
Buxton Arts Festival Ltd,1,120000,2017,2015-2018,Fund
Camden Arts Centre,2,919673,2017,2015-2018,Fund
Camden People's Theatre,1,70000,2017,2015-2018,Fund
Candoco Dance Company,2,398189,2017,2015-2018,Fund
CapeUK,SSO,1024721,2017,2015-2018,Fund
Capsule Events Ltd,1,0,2017,2015-2018,Fund
Carcanet Press Limited,1,120696,2017,2015-2018,Fund
Cardboard Citizens,1,160000,2017,2015-2018,Fund
Carnival Village Trust,2,400000,2017,2015-2018,Fund
Carousel Project,1,197488,2017,2015-2018,Fund
Cast,2,320000,2017,2015-2018,Fund
Castlefield Gallery,1,70000,2017,2015-2018,Fund
Cause4,SSO,0,2017,2015-2018,Fund
Centre for Chinese Contemporary Art,2,287481,2017,2015-2018,Fund
Chapel Arts Studios,1,0,2017,2015-2018,Fund
Charnwood Arts,1,131758,2017,2015-2018,Fund
Chatham Historic Dockyard Trust,1,0,2017,2015-2018,Fund
Cheek by Jowl,1,245677,2017,2015-2018,Fund
Cheltenham Festivals,1,213551,2017,2015-2018,Fund
Cheshire Dance,1,88207,2017,2015-2018,Fund
Cheshire West and Chester Council,1,87398,2017,2015-2018,Fund
Chester Performing Arts Centre Ltd,1,223895,2017,2015-2018,Fund
Chichester Festival Theatre,3,1740213,2017,2015-2018,Fund
Children's Discovery Centre East London,1,71870,2017,2015-2018,Fund
China Plate,1,0,2017,2015-2018,Fund
Chinese Arts Space,1,0,2017,2015-2018,Fund
Chisenhale Gallery,1,165378,2017,2015-2018,Fund
Chris Goode and Company,1,0,2017,2015-2018,Fund
Christ Church Oxford United Clubs Ltd,2,475527,2017,2015-2018,Fund
Chrysalis Arts Development Ltd,1,100678,2017,2015-2018,Fund
Cinderford Artspace,1,47948,2017,2015-2018,Fund
City Arts Nottingham,1,53408,2017,2015-2018,Fund
City of Birmingham Symphony orchestra,3,2180983,2017,2015-2018,Fund
Clean Break Theatre Company Ltd,1,216195,2017,2015-2018,Fund
Clod Ensemble,1,120696,2017,2015-2018,Fund
Cohesion Plus Kent,1,0,2017,2015-2018,Fund
Colchester Arts Centre,1,190695,2017,2015-2018,Fund
Colchester Borough Council,1,0,2017,2015-2018,Fund
Colchester Mercury Theatre Ltd.,2,777378,2017,2015-2018,Fund
Collar and TIE Ltd,1,71383,2017,2015-2018,Fund
Collections Trust,SSO,0,2017,2015-2018,Fund
Collective Encounters,1,80015,2017,2015-2018,Fund
Comma Press,1,72030,2017,2015-2018,Fund
Common Wealth,1,0,2017,2015-2018,Fund
Commonword Enterprises Limited,1,94247,2017,2015-2018,Fund
Community and Cultural Services,1,0,2017,2015-2018,Fund
Community Arts North West,1,191101,2017,2015-2018,Fund
Community Music Ltd,1,133961,2017,2015-2018,Fund
Company Chameleon,1,196235,2017,2015-2018,Fund
Compton Verney House Trust,1,0,2017,2015-2018,Fund
Coney Ltd,1,122828,2017,2015-2018,Fund
Contemporary Art Society,1,168324,2017,2015-2018,Fund
Contemporary Dance Trust,3,1793985,2017,2015-2018,Fund
Continental Drifts,1,119996,2017,2015-2018,Fund
Corali,1,0,2017,2015-2018,Fund
Corby Cube Theatre Trust,1,140811,2017,2015-2018,Fund
Corn Exchange (Newbury) Trust,1,235000,2017,2015-2018,Fund
Cornwall Museums Partnership,2,500000,2017,2015-2018,Fund
Counterpoints Arts,1,80000,2017,2015-2018,Fund
Crafts Council,3,2503853,2017,2015-2018,Fund
Craftspace,1,211553,2017,2015-2018,Fund
Create Gloucestershire,SSO,0,2017,2015-2018,Fund
Create London,1,150000,2017,2015-2018,Fund
Create Studios Digital Media CIC,1,0,2017,2015-2018,Fund
Creative & Cultural Skills,SSO,270000,2017,2015-2018,Fund
Creative Arts East,1,150000,2017,2015-2018,Fund
Creative Foundation,2,0,2017,2015-2018,Fund
Creative Kernow Ltd,1,212675,2017,2015-2018,Fund
Creative Sector Services CIC,SSO,0,2017,2015-2018,Fund
Creative Skillset,SSO,0,2017,2015-2018,Fund
Creativity Works,1,90522,2017,2015-2018,Fund
Crescent Arts,1,69788,2017,2015-2018,Fund
Crying Out Loud,1,211217,2017,2015-2018,Fund
Cubitt Artists Limited,1,112095,2017,2015-2018,Fund
Culture Coventry,2,0,2017,2015-2018,Fund
Culture Squared CIC,2,0,2017,2015-2018,Fund
"Culture, Learning and Libraries (Midlands) - Library Service",1,0,2017,2015-2018,Fund
Culture24,SSO,0,2017,2015-2018,Fund
CultureMix Arts Ltd,1,0,2017,2015-2018,Fund
Cumbria Theatre Trust,2,604066,2017,2015-2018,Fund
curious directive,1,0,2017,2015-2018,Fund
Curious Minds,SSO,1335323,2017,2015-2018,Fund
DaDaFest,1,193052,2017,2015-2018,Fund
Daily Life Ltd,1,88510,2017,2015-2018,Fund
Dance City,2,553856,2017,2015-2018,Fund
Dance Consortium,2,489367,2017,2015-2018,Fund
Dance Umbrella,2,352028,2017,2015-2018,Fund
Dance United Yorkshire,1,90000,2017,2015-2018,Fund
Dance4,2,471014,2017,2015-2018,Fund
DanceEast,2,810153,2017,2015-2018,Fund
Dancefest,1,85492,2017,2015-2018,Fund
Darbar Arts Culture Heritage Trust,1,126715,2017,2015-2018,Fund
darts (Doncaster Community Arts),1,130881,2017,2015-2018,Fund
Dash Arts Ltd,1,90000,2017,2015-2018,Fund
De La Warr Pavilion,2,508430,2017,2015-2018,Fund
Deafinitely Theatre,1,162110,2017,2015-2018,Fund
Déda,2,238373,2017,2015-2018,Fund
Dedalus Limited,1,40000,2017,2015-2018,Fund
Derby Museums,2,854066,2017,2015-2018,Fund
Derby QUAD Ltd,2,457753,2017,2015-2018,Fund
Design Museum,1,170000,2017,2015-2018,Fund
Disability Arts in Shropshire,1,70405,2017,2015-2018,Fund
Disability Arts Online,1,0,2017,2015-2018,Fund
Diverse City,2,0,2017,2015-2018,Fund
Doncaster Heritage Services,1,0,2017,2015-2018,Fund
Donmar Warehouse Projects Ltd,2,504619,2017,2015-2018,Fund
Doorstep Arts,1,0,2017,2015-2018,Fund
Drake Music,1,194045,2017,2015-2018,Fund
Drawing Room,1,50288,2017,2015-2018,Fund
dreamthinkspeak,1,150927,2017,2015-2018,Fund
Duckie,1,142492,2017,2015-2018,Fund
Durham County Council,2,415000,2017,2015-2018,Fund
East London Dance,1,241391,2017,2015-2018,Fund
East Midlands Jazz CIC,1,77446,2017,2015-2018,Fund
East Street Arts,1,184960,2017,2015-2018,Fund
East Street Arts,SSO,0,2017,2015-2018,Fund
Eastern Angles Theatre Company Ltd,1,220402,2017,2015-2018,Fund
Eastside Educational Trust,1,50788,2017,2015-2018,Fund
Eclipse Theatre Company Ltd,1,151017,2017,2015-2018,Fund
Eden Arts,1,100000,2017,2015-2018,Fund
emccan CIC,1,150725,2017,2015-2018,Fund
Emergency Exit Arts,1,117924,2017,2015-2018,Fund
English Folk Dance and Song Society,2,432046,2017,2015-2018,Fund
English Folk Expo,SSO,0,2017,2015-2018,Fund
English National Ballet,3,6214000,2017,2015-2018,Fund
English National Opera,3,12380000,2017,2015-2018,Fund
English PEN,1,229984,2017,2015-2018,Fund
English Stage Company Limited,3,2311234,2017,2015-2018,Fund
English Touring Opera Ltd,3,1743322,2017,2015-2018,Fund
English Touring Theatre Ltd,2,679794,2017,2015-2018,Fund
Entelechy Arts Ltd,1,80348,2017,2015-2018,Fund
Essex Cultural Diversity Project,1,0,2017,2015-2018,Fund
Ex Cathedra Ltd,1,57681,2017,2015-2018,Fund
Exeter City Council,2,1031958,2017,2015-2018,Fund
Exeter Northcott Theatre,1,125000,2017,2015-2018,Fund
Exeter Phoenix,1,125725,2017,2015-2018,Fund
Extant,1,119000,2017,2015-2018,Fund
Eye Music Trust,1,102205,2017,2015-2018,Fund
Fabrica,1,177575,2017,2015-2018,Fund
FACT,3,1005909,2017,2015-2018,Fund
Farnham Maltings Association,2,785780,2017,2015-2018,Fund
Fevered Sleep,1,201160,2017,2015-2018,Fund
FIERCE! Festival,1,130611,2017,2015-2018,Fund
Film and Video Umbrella,2,379321,2017,2015-2018,Fund
Film London,2,321904,2017,2015-2018,Fund
Firstsite Ltd,2,814527,2017,2015-2018,Fund
Flatpack Projects,1,0,2017,2015-2018,Fund
Focal Point Gallery,1,186384,2017,2015-2018,Fund
Forced Entertainment Ltd,1,255393,2017,2015-2018,Fund
Forma Arts and Media Limited,2,259677,2017,2015-2018,Fund
Forward Arts Foundation,1,47914,2017,2015-2018,Fund
Foundation for Community Dance t/a People Dancing,1,190095,2017,2015-2018,Fund
Frantic Theatre Company Ltd,1,221189,2017,2015-2018,Fund
Free Word,1,239567,2017,2015-2018,Fund
Freedom Festival Arts Trust,1,166666,2017,2015-2018,Fund
Freedom Studios,1,140949,2017,2015-2018,Fund
Friction Arts,1,0,2017,2015-2018,Fund
Fuel Productions,1,201160,2017,2015-2018,Fund
Furtherfield.org,1,78388,2017,2015-2018,Fund
Future Everything CIC,1,81452,2017,2015-2018,Fund
Gecko Theatre,1,220401,2017,2015-2018,Fund
Gem Arts,1,120000,2017,2015-2018,Fund
Generator North East,1,156050,2017,2015-2018,Fund
Global Grooves,1,0,2017,2015-2018,Fund
Gloucestershire Everyman Theatre Ltd,2,377546,2017,2015-2018,Fund
Glyndebourne Productions Ltd,3,1629054,2017,2015-2018,Fund
Goole Town Council,1,68995,2017,2015-2018,Fund
Graeae Theatre Company Ltd,2,564399,2017,2015-2018,Fund
Grand Union,1,0,2017,2015-2018,Fund
Great Georges Community Cultural Project Ltd,1,110000,2017,2015-2018,Fund
Greater Manchester Arts Centre Ltd,3,1297513,2017,2015-2018,Fund
Greenwich+Docklands Festivals,1,251449,2017,2015-2018,Fund
Grimm & Co,1,0,2017,2015-2018,Fund
Grizedale Arts,1,197693,2017,2015-2018,Fund
Grundy Art Gallery,1,43122,2017,2015-2018,Fund
Gulbenkian Theatre,2,220000,2017,2015-2018,Fund
hÅb,1,70405,2017,2015-2018,Fund
Hackney Empire Ltd,2,368514,2017,2015-2018,Fund
Half Moon Young People's Theatre,1,217451,2017,2015-2018,Fund
Halle Concerts Society,3,2083674,2017,2015-2018,Fund
Hampstead Theatre Ltd,2,874607,2017,2015-2018,Fund
Harrogate Theatre,1,140909,2017,2015-2018,Fund
Havering Theatre Trust,2,277032,2017,2015-2018,Fund
Headlong Theatre Ltd,2,679794,2017,2015-2018,Fund
Heads Together Productions Limited,1,46605,2017,2015-2018,Fund
Heart n Soul,2,259395,2017,2015-2018,Fund
Heart of Glass,2,0,2017,2015-2018,Fund
Helix Arts Ltd,1,108341,2017,2015-2018,Fund
Higher Rhythm Ltd,1,54000,2017,2015-2018,Fund
Highlights Productions,1,119800,2017,2015-2018,Fund
HighTide Festival Productions LTD,1,191654,2017,2015-2018,Fund
Hofesh Shechter Company,2,383307,2017,2015-2018,Fund
Home Live Art,1,75434,2017,2015-2018,Fund
Homotopia Limited,1,80000,2017,2015-2018,Fund
Hoot Creative Arts,1,40165,2017,2015-2018,Fund
Horniman Museum and Gardens,2,946678,2017,2015-2018,Fund
Hounslow Arts Trust Ltd,1,100579,2017,2015-2018,Fund
Huddersfield Contemporary Music Festival,1,241627,2017,2015-2018,Fund
Hull City Council,2,841409,2017,2015-2018,Fund
Hull Truck Theatre,2,790680,2017,2015-2018,Fund
Ikon Gallery,3,1009728,2017,2015-2018,Fund
Ilkley Literature Festival Ltd,1,137424,2017,2015-2018,Fund
ILUVLIVE,1,103856,2017,2015-2018,Fund
imitating the dog,1,0,2017,2015-2018,Fund
Impressions Gallery of Photography Limited,1,202281,2017,2015-2018,Fund
Improbable,1,216533,2017,2015-2018,Fund
In Between Time,1,191101,2017,2015-2018,Fund
Index on Censorship,SSO,43122,2017,2015-2018,Fund
Inner City Music Ltd,1,94958,2017,2015-2018,Fund
Inpress Ltd,SSO,133488,2017,2015-2018,Fund
In-Situ,1,0,2017,2015-2018,Fund
Institute of Contemporary Arts,2,862441,2017,2015-2018,Fund
Institute of Fundraising,SSO,0,2017,2015-2018,Fund
Institute of International Visual Arts,1,228344,2017,2015-2018,Fund
International Curators Forum,1,0,2017,2015-2018,Fund
Interplay Theatre Trust,1,151017,2017,2015-2018,Fund
Intoart,1,92798,2017,2015-2018,Fund
Invisible Dust,1,0,2017,2015-2018,Fund
Invisible Flock Co,1,0,2017,2015-2018,Fund
IOU Ltd,1,185000,2017,2015-2018,Fund
Ironbridge Gorge Museum Trust,2,736164,2017,2015-2018,Fund
Ironbridge Gorge Museum Trust,SSO,302976,2017,2015-2018,Fund
ISAN,SSO,88442,2017,2015-2018,Fund
Jacksons Lane,1,129747,2017,2015-2018,Fund
Jasmin Vardimon Dance Company,2,289567,2017,2015-2018,Fund
Jazz North,SSO,190000,2017,2015-2018,Fund
Jazz re:freshed,1,95795,2017,2015-2018,Fund
Jerwood Gallery,1,0,2017,2015-2018,Fund
Jewish Museum London,1,0,2017,2015-2018,Fund
J-Night,1,68749,2017,2015-2018,Fund
John Hansard Gallery,2,447511,2017,2015-2018,Fund
Junction Arts Limited,1,100579,2017,2015-2018,Fund
Junction CDC Ltd,2,587418,2017,2015-2018,Fund
Kala Sangam - The Academy of South Asian Performing Arts,1,100000,2017,2015-2018,Fund
Kaleider Limited,1,110000,2017,2015-2018,Fund
Kali Theatre Co.,1,196500,2017,2015-2018,Fund
KARST,1,0,2017,2015-2018,Fund
Kendal Brewery Arts Centre,2,321854,2017,2015-2018,Fund
Kettle's Yard,2,148757,2017,2015-2018,Fund
Kids in Museums,SSO,0,2017,2015-2018,Fund
Kinetika Bloco,1,0,2017,2015-2018,Fund
Kinetika People,1,98845,2017,2015-2018,Fund
Kirklees Theatre Trust,1,148531,2017,2015-2018,Fund
Kneehigh Theatre Trust,2,354672,2017,2015-2018,Fund
Knowle West Media Centre,1,90522,2017,2015-2018,Fund
Koestler Trust,1,75000,2017,2015-2018,Fund
Lakes Arts Festivals Ltd,1,0,2017,2015-2018,Fund
Lancaster Arts at Lancaster University,1,103053,2017,2015-2018,Fund
Lapworth Museum of Geology,1,0,2017,2015-2018,Fund
Ledbury Poetry Festival,1,53065,2017,2015-2018,Fund
Leeds Museums and Galleries,3,1590154,2017,2015-2018,Fund
Leeds Theatre Trust Limited,3,1508104,2017,2015-2018,Fund
Leicester Arts Centre Limited,1,80463,2017,2015-2018,Fund
Leicester City Council,2,0,2017,2015-2018,Fund
Leicester Dance Theatre Limited,2,0,2017,2015-2018,Fund
Leicester Print Workshop,1,70290,2017,2015-2018,Fund
Leicester Theatre Trust Ltd,3,1914029,2017,2015-2018,Fund
Leicestershire County Council,SSO,298179,2017,2015-2018,Fund
Level Centre Ltd,1,138800,2017,2015-2018,Fund
Libraries Unlimited South West,1,0,2017,2015-2018,Fund
Lighthouse Arts and Training Ltd,1,114992,2017,2015-2018,Fund
Lincoln Arts Trust Limited,1,207193,2017,2015-2018,Fund
Lincolnshire County Council,1,71411,2017,2015-2018,Fund
Literature Works,1,96556,2017,2015-2018,Fund
Littleworld Ltd t/a Horse and Bamboo Theatre,1,123632,2017,2015-2018,Fund
Live & Local Ltd,2,291464,2017,2015-2018,Fund
Live Art Development Agency,1,235846,2017,2015-2018,Fund
Live Theatre Winchester Trust,1,134158,2017,2015-2018,Fund
Liverpool & Merseyside Theatres Trust Ltd,3,1649977,2017,2015-2018,Fund
Liverpool Arab Arts Festival,1,110000,2017,2015-2018,Fund
Liverpool Biennial of Contemporary Art Ltd,2,788355,2017,2015-2018,Fund
Liverpool City Council Culture Liverpool,2,0,2017,2015-2018,Fund
London Arts in Health Forum,1,65662,2017,2015-2018,Fund
London Borough of Barking and Dagenham,1,0,2017,2015-2018,Fund
London Borough of Waltham Forest - WILLIAM MORRIS GALLERY,1,60000,2017,2015-2018,Fund
London International Festival of Theatre,2,452608,2017,2015-2018,Fund
London International Mime Festival,1,201160,2017,2015-2018,Fund
London Philharmonic Orchestra,3,2042222,2017,2015-2018,Fund
London Print Studio Ltd,1,190891,2017,2015-2018,Fund
London Symphony Orchestra,3,2206050,2017,2015-2018,Fund
London Transport Museum,1,0,2017,2015-2018,Fund
Loud In Libraries CIC,1,0,2017,2015-2018,Fund
Ludus Dance,1,95644,2017,2015-2018,Fund
Luton Carnival Arts Development Trust,1,0,2017,2015-2018,Fund
Luton Cultural Services Trust,1,0,2017,2015-2018,Fund
LUX,1,202122,2017,2015-2018,Fund
M6 THEATRE COMPANY LIMITED,1,199320,2017,2015-2018,Fund
Magna Vitae,1,150000,2017,2015-2018,Fund
Mahogany Community Ventures Limited,1,116637,2017,2015-2018,Fund
Manchester Camerata Limited,1,156620,2017,2015-2018,Fund
Manchester City Galleries,SSO,320150,2017,2015-2018,Fund
Manchester City Galleries,3,1597659,2017,2015-2018,Fund
Manchester Craft And Design,1,40000,2017,2015-2018,Fund
Manchester Jazz Festival,1,90521,2017,2015-2018,Fund
Manchester Jewish Museum,1,0,2017,2015-2018,Fund
Manchester Literature Festival,1,76661,2017,2015-2018,Fund
Manchester Young People's Theatre trading as Contact,2,916435,2017,2015-2018,Fund
Mandinga Arts,1,55319,2017,2015-2018,Fund
Matt's Gallery Ltd,1,153385,2017,2015-2018,Fund
MAYK Theatre CIC,1,90000,2017,2015-2018,Fund
