Applicant Name,Funding Band,Amount,Year,Period,Type
Boy Blue Entertainment,1,0,2015,2015-2018,Fund
Brass Bands England,SSO,142000,2015,2015-2018,Fund
Bridport Arts Centre,1,57412,2015,2015-2018,Fund
Brighton & Hove City Council,2,698507,2015,2015-2018,Fund
Brighton Dome & Festival Limited,3,1149921,2015,2015-2018,Fund
Bristol Cultural Development Partnership,1,50289,2015,2015-2018,Fund
Bristol Museums,3,1576082,2015,2015-2018,Fund
Bristol Music Trust,2,325000,2015,2015-2018,Fund
Bristol Old Vic and Theatre Royal Trust Ltd,3,1228381,2015,2015-2018,Fund
British Motor Industry Heritage Trust,1,0,2015,2015-2018,Fund
British Underground Ltd,1,151406,2015,2015-2018,Fund
British Youth Opera,1,42621,2015,2015-2018,Fund
Britten Sinfonia,2,399261,2015,2015-2018,Fund
Brownswood Music Ltd,1,89000,2015,2015-2018,Fund
b-side Multimedia Festival CIC,1,133651,2015,2015-2018,Fund
Bucks County Museum,1,0,2015,2015-2018,Fund
Bureau of Silly Ideas,1,40231,2015,2015-2018,Fund
Burnley Youth Theatre,1,63365,2015,2015-2018,Fund
Burton Art Gallery and Museum,1,0,2015,2015-2018,Fund
Buxton Arts Festival Ltd,1,120000,2015,2015-2018,Fund
Camden Arts Centre,2,919673,2015,2015-2018,Fund
Camden People's Theatre,1,70000,2015,2015-2018,Fund
Candoco Dance Company,2,398189,2015,2015-2018,Fund
CapeUK,SSO,1024721,2015,2015-2018,Fund
Capsule Events Ltd,1,0,2015,2015-2018,Fund
Carcanet Press Limited,1,120696,2015,2015-2018,Fund
Cardboard Citizens,1,160000,2015,2015-2018,Fund
Carnival Village Trust,2,400000,2015,2015-2018,Fund
Carousel Project,1,197488,2015,2015-2018,Fund
Cast,2,320000,2015,2015-2018,Fund
Castlefield Gallery,1,70000,2015,2015-2018,Fund
Cause4,SSO,0,2015,2015-2018,Fund
Centre for Chinese Contemporary Art,2,287481,2015,2015-2018,Fund
Chapel Arts Studios,1,0,2015,2015-2018,Fund
Charnwood Arts,1,131758,2015,2015-2018,Fund
Chatham Historic Dockyard Trust,1,0,2015,2015-2018,Fund
Cheek by Jowl,1,245677,2015,2015-2018,Fund
Cheltenham Festivals,1,213551,2015,2015-2018,Fund
Cheshire Dance,1,88207,2015,2015-2018,Fund
Cheshire West and Chester Council,1,87398,2015,2015-2018,Fund
Chester Performing Arts Centre Ltd,1,223895,2015,2015-2018,Fund
Chichester Festival Theatre,3,1740213,2015,2015-2018,Fund
Children's Discovery Centre East London,1,71870,2015,2015-2018,Fund
China Plate,1,0,2015,2015-2018,Fund
Chinese Arts Space,1,0,2015,2015-2018,Fund
Chisenhale Gallery,1,165378,2015,2015-2018,Fund
Chris Goode and Company,1,0,2015,2015-2018,Fund
Christ Church Oxford United Clubs Ltd,2,475527,2015,2015-2018,Fund
Chrysalis Arts Development Ltd,1,100678,2015,2015-2018,Fund
Cinderford Artspace,1,47948,2015,2015-2018,Fund
City Arts Nottingham,1,53408,2015,2015-2018,Fund
City of Birmingham Symphony orchestra,3,2180983,2015,2015-2018,Fund
Clean Break Theatre Company Ltd,1,216195,2015,2015-2018,Fund
Clod Ensemble,1,120696,2015,2015-2018,Fund
Cohesion Plus Kent,1,0,2015,2015-2018,Fund
Colchester Arts Centre,1,190695,2015,2015-2018,Fund
Colchester Borough Council,1,0,2015,2015-2018,Fund
Colchester Mercury Theatre Ltd.,2,777378,2015,2015-2018,Fund
Collar and TIE Ltd,1,71383,2015,2015-2018,Fund
Collections Trust,SSO,0,2015,2015-2018,Fund
Collective Encounters,1,80015,2015,2015-2018,Fund
Comma Press,1,72030,2015,2015-2018,Fund
Common Wealth,1,0,2015,2015-2018,Fund
Commonword Enterprises Limited,1,94247,2015,2015-2018,Fund
Community and Cultural Services,1,0,2015,2015-2018,Fund
Community Arts North West,1,191101,2015,2015-2018,Fund
Community Music Ltd,1,133961,2015,2015-2018,Fund
Company Chameleon,1,196235,2015,2015-2018,Fund
Compton Verney House Trust,1,0,2015,2015-2018,Fund
Coney Ltd,1,122828,2015,2015-2018,Fund
Contemporary Art Society,1,168324,2015,2015-2018,Fund
Contemporary Dance Trust,3,1793985,2015,2015-2018,Fund
Continental Drifts,1,119996,2015,2015-2018,Fund
Corali,1,0,2015,2015-2018,Fund
Corby Cube Theatre Trust,1,140811,2015,2015-2018,Fund
Corn Exchange (Newbury) Trust,1,235000,2015,2015-2018,Fund
Cornwall Museums Partnership,2,500000,2015,2015-2018,Fund
Counterpoints Arts,1,80000,2015,2015-2018,Fund
Crafts Council,3,2503853,2015,2015-2018,Fund
Craftspace,1,211553,2015,2015-2018,Fund
Create Gloucestershire,SSO,0,2015,2015-2018,Fund
Create London,1,150000,2015,2015-2018,Fund
Create Studios Digital Media CIC,1,0,2015,2015-2018,Fund
Creative & Cultural Skills,SSO,270000,2015,2015-2018,Fund
Creative Arts East,1,150000,2015,2015-2018,Fund
Creative Foundation,2,0,2015,2015-2018,Fund
Creative Kernow Ltd,1,212675,2015,2015-2018,Fund
Creative Sector Services CIC,SSO,0,2015,2015-2018,Fund
Creative Skillset,SSO,0,2015,2015-2018,Fund
Creativity Works,1,90522,2015,2015-2018,Fund
Crescent Arts,1,69788,2015,2015-2018,Fund
Crying Out Loud,1,211217,2015,2015-2018,Fund
Cubitt Artists Limited,1,112095,2015,2015-2018,Fund
Culture Coventry,2,0,2015,2015-2018,Fund
Culture Squared CIC,2,0,2015,2015-2018,Fund
"Culture, Learning and Libraries (Midlands) - Library Service",1,0,2015,2015-2018,Fund
Culture24,SSO,0,2015,2015-2018,Fund
CultureMix Arts Ltd,1,0,2015,2015-2018,Fund
Cumbria Theatre Trust,2,604066,2015,2015-2018,Fund
curious directive,1,0,2015,2015-2018,Fund
Curious Minds,SSO,1335323,2015,2015-2018,Fund
DaDaFest,1,193052,2015,2015-2018,Fund
Daily Life Ltd,1,88510,2015,2015-2018,Fund
Dance City,2,553856,2015,2015-2018,Fund
Dance Consortium,2,489367,2015,2015-2018,Fund
Dance Umbrella,2,352028,2015,2015-2018,Fund
Dance United Yorkshire,1,90000,2015,2015-2018,Fund
Dance4,2,471014,2015,2015-2018,Fund
DanceEast,2,810153,2015,2015-2018,Fund
Dancefest,1,85492,2015,2015-2018,Fund
Darbar Arts Culture Heritage Trust,1,126715,2015,2015-2018,Fund
darts (Doncaster Community Arts),1,130881,2015,2015-2018,Fund
Dash Arts Ltd,1,90000,2015,2015-2018,Fund
De La Warr Pavilion,2,508430,2015,2015-2018,Fund
Deafinitely Theatre,1,162110,2015,2015-2018,Fund
Déda,2,238373,2015,2015-2018,Fund
Dedalus Limited,1,40000,2015,2015-2018,Fund
Derby Museums,2,854066,2015,2015-2018,Fund
Derby QUAD Ltd,2,457753,2015,2015-2018,Fund
Design Museum,1,170000,2015,2015-2018,Fund
Disability Arts in Shropshire,1,70405,2015,2015-2018,Fund
Disability Arts Online,1,0,2015,2015-2018,Fund
Diverse City,2,0,2015,2015-2018,Fund
Doncaster Heritage Services,1,0,2015,2015-2018,Fund
Donmar Warehouse Projects Ltd,2,504619,2015,2015-2018,Fund
Doorstep Arts,1,0,2015,2015-2018,Fund
Drake Music,1,194045,2015,2015-2018,Fund
Drawing Room,1,50288,2015,2015-2018,Fund
dreamthinkspeak,1,150927,2015,2015-2018,Fund
Duckie,1,142492,2015,2015-2018,Fund
Durham County Council,2,415000,2015,2015-2018,Fund
East London Dance,1,241391,2015,2015-2018,Fund
East Midlands Jazz CIC,1,77446,2015,2015-2018,Fund
East Street Arts,1,184960,2015,2015-2018,Fund
East Street Arts,SSO,0,2015,2015-2018,Fund
Eastern Angles Theatre Company Ltd,1,220402,2015,2015-2018,Fund
Eastside Educational Trust,1,50788,2015,2015-2018,Fund
Eclipse Theatre Company Ltd,1,151017,2015,2015-2018,Fund
Eden Arts,1,100000,2015,2015-2018,Fund
emccan CIC,1,150725,2015,2015-2018,Fund
Emergency Exit Arts,1,117924,2015,2015-2018,Fund
English Folk Dance and Song Society,2,432046,2015,2015-2018,Fund
English Folk Expo,SSO,0,2015,2015-2018,Fund
English National Ballet,3,6214000,2015,2015-2018,Fund
English National Opera,3,12380000,2015,2015-2018,Fund
English PEN,1,229984,2015,2015-2018,Fund
English Stage Company Limited,3,2311234,2015,2015-2018,Fund
English Touring Opera Ltd,3,1743322,2015,2015-2018,Fund
