Applicant Name,Funding Band,Funding Source (GIA or LOT),Funding Source Description,Funding Band Description,Portfolio funded in 2015-18?,Bridge Organisation,Technical Uplift,Technical Reduction,Museum Development
In-Situ,1,GIA,Grant in Aid,Band 1,False,False,False,False,False
Institute of Contemporary Arts,2,LOT,National Lottery,Band 2,True,False,False,False,False
Institute of Fundraising,SSO,GIA,Grant in Aid,Sector Support Organisation,False,False,False,False,False
Institute of International Visual Arts,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
International Curators Forum,1,GIA,Grant in Aid,Band 1,False,False,False,False,False
Interplay Theatre Trust,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
Intoart,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
Invisible Dust,1,GIA,Grant in Aid,Band 1,False,False,False,False,False
Invisible Flock Co,1,GIA,Grant in Aid,Band 1,False,False,False,False,False
IOU Ltd,1,LOT,National Lottery,Band 1,True,False,False,False,False
Ironbridge Gorge Museum Trust,2,GIA,Grant in Aid,Band 2,True,False,False,False,False
Ironbridge Gorge Museum Trust,SSO,GIA,Grant in Aid,Sector Support Organisation,True,False,True,False,True
ISAN,SSO,GIA,Grant in Aid,Sector Support Organisation,True,False,False,False,False
Jacksons Lane,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
Jasmin Vardimon Dance Company,2,GIA,Grant in Aid,Band 2,True,False,False,False,False
Jazz North,SSO,GIA,Grant in Aid,Sector Support Organisation,True,False,False,False,False
Jazz re:freshed,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
Jerwood Gallery,1,GIA,Grant in Aid,Band 1,False,False,False,False,False
Jewish Museum London,1,GIA,Grant in Aid,Band 1,False,False,False,False,False
J-Night,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
John Hansard Gallery,2,GIA,Grant in Aid,Band 2,True,False,False,False,False
Junction Arts Limited,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
Junction CDC Ltd,2,GIA,Grant in Aid,Band 2,True,False,False,False,False
Kala Sangam - The Academy of South Asian Performing Arts,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
Kaleider Limited,1,LOT,National Lottery,Band 1,True,False,False,False,False
Kali Theatre Co.,1,LOT,National Lottery,Band 1,True,False,False,False,False
KARST,1,GIA,Grant in Aid,Band 1,False,False,False,False,False
Kendal Brewery Arts Centre,2,GIA,Grant in Aid,Band 2,True,False,False,False,False
Kettle's Yard,2,GIA,Grant in Aid,Band 2,True,False,True,False,False
Kids in Museums,SSO,GIA,Grant in Aid,Sector Support Organisation,False,False,False,False,False
Kinetika Bloco,1,GIA,Grant in Aid,Band 1,False,False,False,False,False
Kinetika People,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
Kirklees Theatre Trust,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
Kneehigh Theatre Trust,2,LOT,National Lottery,Band 2,True,False,False,False,False
Knowle West Media Centre,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
Koestler Trust,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
Lakes Arts Festivals Ltd,1,GIA,Grant in Aid,Band 1,False,False,False,False,False
Lancaster Arts at Lancaster University,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
Lapworth Museum of Geology,1,GIA,Grant in Aid,Band 1,False,False,False,False,False
Ledbury Poetry Festival,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
Leeds Museums and Galleries,3,GIA,Grant in Aid,Band 3,True,False,False,False,False
Leeds Theatre Trust Limited,3,GIA,Grant in Aid,Band 3,True,False,False,False,False
Leicester Arts Centre Limited,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
Leicester City Council,2,GIA,Grant in Aid,Band 2,False,False,False,False,False
Leicester Dance Theatre Limited,2,LOT,National Lottery,Band 2,False,False,False,False,False
Leicester Print Workshop,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
Leicester Theatre Trust Ltd,3,GIA,Grant in Aid,Band 3,True,False,False,False,False
Leicestershire County Council,SSO,GIA,Grant in Aid,Sector Support Organisation,True,False,False,False,True
Level Centre Ltd,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
Libraries Unlimited South West,1,GIA,Grant in Aid,Band 1,False,False,False,False,False
Lighthouse Arts and Training Ltd,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
Lincoln Arts Trust Limited,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
Lincolnshire County Council,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
Literature Works,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
Littleworld Ltd t/a Horse and Bamboo Theatre,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
Live & Local Ltd,2,LOT,National Lottery,Band 2,True,False,False,False,False
Live Art Development Agency,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
Live Theatre Winchester Trust,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
Liverpool & Merseyside Theatres Trust Ltd,3,GIA,Grant in Aid,Band 3,True,False,False,False,False
Liverpool Arab Arts Festival,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
Liverpool Biennial of Contemporary Art Ltd,2,GIA,Grant in Aid,Band 2,True,False,False,False,False
Liverpool City Council Culture Liverpool,2,GIA,Grant in Aid,Band 2,False,False,False,False,False
London Arts in Health Forum,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
London Borough of Barking and Dagenham,1,GIA,Grant in Aid,Band 1,False,False,False,False,False
London Borough of Waltham Forest - WILLIAM MORRIS GALLERY,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
London International Festival of Theatre,2,GIA,Grant in Aid,Band 2,True,False,False,False,False
London International Mime Festival,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
London Philharmonic Orchestra,3,GIA,Grant in Aid,Band 3,True,False,False,False,False
London Print Studio Ltd,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
London Symphony Orchestra,3,GIA,Grant in Aid,Band 3,True,False,False,False,False
London Transport Museum,1,GIA,Grant in Aid,Band 1,False,False,False,False,False
Loud In Libraries CIC,1,GIA,Grant in Aid,Band 1,False,False,False,False,False
Ludus Dance,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
Luton Carnival Arts Development Trust,1,GIA,Grant in Aid,Band 1,False,False,False,False,False
Luton Cultural Services Trust,1,GIA,Grant in Aid,Band 1,False,False,False,False,False
LUX,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
M6 THEATRE COMPANY LIMITED,1,LOT,National Lottery,Band 1,True,False,False,False,False
Magna Vitae,1,LOT,National Lottery,Band 1,True,False,False,False,False
Mahogany Community Ventures Limited,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
Manchester Camerata Limited,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
Manchester City Galleries,SSO,GIA,Grant in Aid,Sector Support Organisation,True,False,False,False,True
Manchester City Galleries,3,GIA,Grant in Aid,Band 3,True,False,False,False,False
Manchester Craft And Design,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
Manchester Jazz Festival,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
Manchester Jewish Museum,1,GIA,Grant in Aid,Band 1,False,False,False,False,False
Manchester Literature Festival,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
Manchester Young People's Theatre trading as Contact,2,GIA,Grant in Aid,Band 2,True,False,False,False,False
Mandinga Arts,1,LOT,National Lottery,Band 1,True,False,False,False,False
Matt's Gallery Ltd,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
MAYK Theatre CIC,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
Meadow Arts,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
Mercury Musical Developments,SSO,GIA,Grant in Aid,Sector Support Organisation,True,False,False,False,False
Metal Culture Ltd,2,GIA,Grant in Aid,Band 2,True,False,False,False,False
Metro-Boulot-Dodo Limited,1,LOT,National Lottery,Band 1,False,False,False,False,False
MeWe Foundation,SSO,GIA,Grant in Aid,Sector Support Organisation,False,False,False,False,False
Middle Child,1,LOT,National Lottery,Band 1,False,False,False,False,False
Middlesbrough Town Hall,1,GIA,Grant in Aid,Band 1,False,False,False,False,False
Midlands Arts Centre,2,GIA,Grant in Aid,Band 2,True,False,False,False,False
MIF,3,GIA,Grant in Aid,Band 3,True,False,False,False,False
Mikron Theatre Company,1,LOT,National Lottery,Band 1,False,False,False,False,False
Milap Festival Trust,2,GIA,Grant in Aid,Band 2,True,False,False,True,False
Milton Keynes Arts Centre LTD,1,GIA,Grant in Aid,Band 1,False,False,False,False,False
Mimbre,1,LOT,National Lottery,Band 1,True,False,False,False,False
Mind the Gap,1,LOT,National Lottery,Band 1,True,False,False,False,False
Miracle Theatre Trust Ltd,1,LOT,National Lottery,Band 1,True,False,False,False,False
MK Gallery,2,GIA,Grant in Aid,Band 2,True,False,False,False,False
Modern Art Oxford,2,GIA,Grant in Aid,Band 2,True,False,False,False,False
Modern Masterpieces,1,LOT,National Lottery,Band 1,True,False,False,False,False
Modern Poetry in Translation,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
More Music,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
Motionhouse,2,GIA,Grant in Aid,Band 2,True,False,False,False,False
Multistory,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
Museum of East Anglian Life,1,GIA,Grant in Aid,Band 1,False,False,False,False,False
Museum of English Rural Life and Reading Museum Partnership,1,GIA,Grant in Aid,Band 1,False,False,False,False,False
Museum of London,SSO,GIA,Grant in Aid,Sector Support Organisation,True,False,False,False,True
Museum of London,3,GIA,Grant in Aid,Band 3,True,False,False,False,False
Music for Youth,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
Music in the Round,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
Musiko Musika,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
Mytime Active,1,GIA,Grant in Aid,Band 1,False,False,False,False,False
National Association for Gallery Education (engage),SSO,GIA,Grant in Aid,Sector Support Organisation,True,False,False,False,False
National Centre for Circus Arts,2,GIA,Grant in Aid,Band 2,True,False,False,False,False
National Criminal Justice Arts Alliance,SSO,GIA,Grant in Aid,Sector Support Organisation,False,False,False,False,False
National Horseracing Museum,1,GIA,Grant in Aid,Band 1,False,False,False,False,False
National Justice Museum,1,GIA,Grant in Aid,Band 1,False,False,False,False,False
National Opera Studio,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
National Rural Touring Forum,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
National Student Drama Festival,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
National Theatre,3,GIA,Grant in Aid,Band 3,True,False,False,False,False
National Youth Choirs of Great Britain,1,GIA,Grant in Aid,Band 1,True,False,False,True,False
National Youth Jazz Collective,1,GIA,Grant in Aid,Band 1,True,False,False,True,False
National Youth Jazz Orchestra,1,LOT,National Lottery,Band 1,True,False,False,False,False
National Youth Orchestra of Great Britain,1,GIA,Grant in Aid,Band 1,True,False,False,True,False
National Youth Theatre of Great Britain,2,GIA,Grant in Aid,Band 2,True,False,False,False,False
New Art Exchange Ltd,2,GIA,Grant in Aid,Band 2,True,False,False,False,False
New Contemporaries (1988) Ltd,1,LOT,National Lottery,Band 1,True,False,False,False,False
New International Encounter,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
New Perspectives Theatre Company,2,LOT,National Lottery,Band 2,True,False,False,False,False
New Wolsey Theatre Company Ltd,2,GIA,Grant in Aid,Band 2,True,False,False,False,False
New Writing North,2,GIA,Grant in Aid,Band 2,True,False,True,False,False
New Writing South,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
Newhampton Arts Centre,1,GIA,Grant in Aid,Band 1,False,False,False,False,False
Newlyn Art Gallery Ltd,2,GIA,Grant in Aid,Band 2,True,False,False,False,False
Nine Arches Press,1,GIA,Grant in Aid,Band 1,False,False,False,False,False
NMC Recordings Ltd.,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
NN Contemporary Art,1,GIA,Grant in Aid,Band 1,False,False,False,False,False
no.w.here arts limited,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
NoFit State Community Circus Ltd,1,LOT,National Lottery,Band 1,True,False,False,False,False
Norfolk and Norwich Festival Trust,SSO,LOT,National Lottery,Sector Support Organisation,True,True,False,False,False
Norfolk and Norwich Festival Trust,2,GIA,Grant in Aid,Band 2,True,False,False,False,False
Norfolk Museums Service,SSO,GIA,Grant in Aid,Sector Support Organisation,True,False,False,False,True
Norfolk Museums Service,3,GIA,Grant in Aid,Band 3,True,False,False,False,False
North East Theatre Trust Ltd,2,GIA,Grant in Aid,Band 2,True,False,False,False,False
North Kesteven District Council,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
North Lincolnshire Council 20-21 Visual Arts Centre,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
North Music Trust,3,GIA,Grant in Aid,Band 3,True,False,False,False,False
Northampton Theatres Trust,2,GIA,Grant in Aid,Band 2,True,False,False,False,False
Northern Ballet Limited,3,LOT,National Lottery,Band 3,True,False,False,False,False
Northern Broadsides Theatre Company,2,LOT,National Lottery,Band 2,True,False,False,False,False
Northern Print,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
Northern School of Contemporary Dance,1,GIA,Grant in Aid,Band 1,False,False,False,False,False
Northern Stage (Theatrical Productions) Ltd,3,LOT,National Lottery,Band 3,True,False,False,False,False
Norwich Arts Centre,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
Nottingham City Museums and Galleries,2,GIA,Grant in Aid,Band 2,False,False,False,False,False
Nottingham Contemporary,3,GIA,Grant in Aid,Band 3,True,False,False,False,False
Nottingham Media Centre Ltd,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
Nottingham Playhouse,3,GIA,Grant in Aid,Band 3,True,False,False,False,False
November Club,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
NTS Live,1,GIA,Grant in Aid,Band 1,False,False,False,False,False
Nutkhut,1,LOT,National Lottery,Band 1,True,False,False,False,False
Ockham's Razor,1,LOT,National Lottery,Band 1,True,False,False,False,False
Octopus Collective Ltd.,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
Oily Cart,2,LOT,National Lottery,Band 2,True,False,False,False,False
Oldham Coliseum Theatre,2,GIA,Grant in Aid,Band 2,True,False,False,False,False
One Dance UK,SSO,GIA,Grant in Aid,Sector Support Organisation,False,False,False,False,False
Open Clasp Theatre Company,1,LOT,National Lottery,Band 1,True,False,False,False,False
Open Eye gallery,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
Open School East,1,GIA,Grant in Aid,Band 1,False,False,False,False,False
Open Theatre Company,1,GIA,Grant in Aid,Band 1,False,False,False,False,False
OpenUp Music,1,GIA,Grant in Aid,Band 1,False,False,False,False,False
Opera North Limited,3,GIA,Grant in Aid,Band 3,True,False,False,False,False
Orchestra of the Age of Enlightenment,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
Orchestras Live,2,GIA,Grant in Aid,Band 2,True,False,False,False,False
OTO Projects CIC,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
Otolith Collective Ltd,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
Out of Joint,2,LOT,National Lottery,Band 2,True,False,False,False,False
Outside In,1,LOT,National Lottery,Band 1,False,False,False,False,False
Oxford Contemporary Music,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
Oxford Playhouse Trust,2,LOT,National Lottery,Band 2,True,False,False,False,False
Pagoda Arts,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
Paines Plough,2,LOT,National Lottery,Band 2,True,False,False,False,False
Palace Theatre Watford Limited,2,GIA,Grant in Aid,Band 2,True,False,False,False,False
Pallant House Gallery,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
Paraiso School of Samba,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
Paraorchestra and Friends,1,GIA,Grant in Aid,Band 1,False,False,False,False,False
Pavilion Dance South West Ltd,2,GIA,Grant in Aid,Band 2,True,False,False,False,False
Peckham Platform Ltd,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
Peepal Tree Press,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
Peer UK,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
Pegasus Theatre Trust,2,GIA,Grant in Aid,Band 2,True,False,False,False,False
Penned in the Margins,1,LOT,National Lottery,Band 1,True,False,False,False,False
Pentabus Arts Ltd,1,LOT,National Lottery,Band 1,True,False,False,False,False
People Express,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
People United,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
People's History Museum,2,GIA,Grant in Aid,Band 2,False,False,False,False,False
People's Palace Projects,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
Perfect Pitch Musicals Ltd,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
Performances Birmingham Limited,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
Peshkar,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
Philharmonia Limited,3,GIA,Grant in Aid,Band 3,True,False,False,False,False
Phoenix Dance Theatre,2,LOT,National Lottery,Band 2,True,False,False,False,False
Photofusion,1,GIA,Grant in Aid,Band 1,False,False,False,False,False
Photoworks,2,GIA,Grant in Aid,Band 2,True,False,False,False,False
Pilot Theatre Ltd,2,LOT,National Lottery,Band 2,True,False,False,False,False
Pioneer Theatres Ltd t/a Theatre Royal Stratford East,3,GIA,Grant in Aid,Band 3,True,False,False,False,False
Plymouth Culture,SSO,GIA,Grant in Aid,Sector Support Organisation,False,False,False,False,False
Plymouth Music Zone Ltd,1,GIA,Grant in Aid,Band 1,False,False,False,False,False
Pocklington Arts Centre,1,GIA,Grant in Aid,Band 1,False,False,False,False,False
PoemsOnTheUnderground,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
Poet in the City,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
Poetry London,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
Poetry Translation Centre Ltd,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
Polish Expats Association cic,1,GIA,Grant in Aid,Band 1,False,False,False,False,False
Polka Theatre,2,GIA,Grant in Aid,Band 2,True,False,False,False,False
Poole Arts Trust Ltd,2,GIA,Grant in Aid,Band 2,True,False,False,False,False
Pop Up Projects CIC,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
PopUp Initiative CIC (The NewBridge Project),1,GIA,Grant in Aid,Band 1,False,False,False,False,False
Portsmouth New Theatre Royal,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
Prema Arts Centre,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
Preston City Council,1,GIA,Grant in Aid,Band 1,False,False,False,False,False
Primary,1,GIA,Grant in Aid,Band 1,False,False,False,False,False
Prime Theatre,1,LOT,National Lottery,Band 1,True,False,False,False,False
Prism Arts,1,LOT,National Lottery,Band 1,True,False,False,False,False
Project Art Works,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
Project Phakama UK,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
Project Space Leeds,2,GIA,Grant in Aid,Band 2,False,False,False,False,False
Protein Dance Ltd,1,LOT,National Lottery,Band 1,True,False,False,False,False
Proteus Theatre Company,1,LOT,National Lottery,Band 1,False,False,False,False,False
Psappha Limited,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
PUNCH RECORDS,2,GIA,Grant in Aid,Band 2,True,False,False,False,False
Punchdrunk,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
Quarantine,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
Queen's Hall Arts,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
Rambert,3,LOT,National Lottery,Band 3,True,False,False,False,False
Raw Material Music and Media Education,1,LOT,National Lottery,Band 1,True,False,False,False,False
Re:Bourne,3,LOT,National Lottery,Band 3,True,False,False,False,False
Readipop,1,GIA,Grant in Aid,Band 1,False,False,False,False,False
Real Ideas Organisation CIC,SSO,LOT,National Lottery,Sector Support Organisation,True,True,False,False,False
Real Ideas Organisation CIC,1,GIA,Grant in Aid,Band 1,False,False,False,False,False
Red Earth Theatre Limited,1,LOT,National Lottery,Band 1,True,False,False,False,False
Red Ladder Theatre Company,1,LOT,National Lottery,Band 1,False,False,False,False,False
Redbridge Drama Centre,1,LOT,National Lottery,Band 1,True,False,False,False,False
Redeye (North West Photography Network) Ltd,SSO,GIA,Grant in Aid,Sector Support Organisation,True,False,False,False,False
Resonance,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
Rich Mix Cultural Foundation,2,GIA,Grant in Aid,Band 2,True,False,False,False,False
Rifco Arts,2,LOT,National Lottery,Band 2,True,False,False,False,False
Ripon Museum Trust,1,GIA,Grant in Aid,Band 1,False,False,False,False,False
RJC Dance,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
Rosehill Arts Trust,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
Roses Theatre Trust,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
Rosetta Art Centre,1,GIA,Grant in Aid,Band 1,False,False,False,False,False
Rosie Kay Dance Company,1,GIA,Grant in Aid,Band 1,False,False,False,False,False
Rotherham Open Arts Renaissance (ROAR),1,GIA,Grant in Aid,Band 1,True,False,False,False,False
Royal Court Liverpool Trust,1,GIA,Grant in Aid,Band 1,False,False,False,False,False
Royal Exchange Theatre Company Ltd,3,GIA,Grant in Aid,Band 3,True,False,False,False,False
Royal Liverpool Philharmonic,3,GIA,Grant in Aid,Band 3,True,False,False,False,False
Royal Opera House,3,GIA,Grant in Aid,Band 3,True,False,False,False,False
Royal Opera House,SSO,LOT,National Lottery,Sector Support Organisation,True,True,False,False,False
Royal Philharmonic Orchestra Ltd,2,GIA,Grant in Aid,Band 2,True,False,False,False,False
Royal Shakespeare Company,3,GIA,Grant in Aid,Band 3,True,False,False,False,False
RTYDS Ltd,SSO,GIA,Grant in Aid,Sector Support Organisation,False,False,False,False,False
Rural Arts North Yorkshire,1,LOT,National Lottery,Band 1,True,False,False,False,False
Rural Media Charity,1,GIA,Grant in Aid,Band 1,False,False,False,False,False
Russell Maliphant Company,1,GIA,Grant in Aid,Band 1,False,False,False,False,False
Sadler's Wells,3,LOT,National Lottery,Band 3,True,False,False,False,False
Salisbury Arts Theatre Ltd,3,GIA,Grant in Aid,Band 3,True,False,True,False,False
Sampad (South Asian Arts Development),1,GIA,Grant in Aid,Band 1,True,False,False,False,False
Scarborough Theatre Trust Ltd,2,GIA,Grant in Aid,Band 2,True,False,False,False,False
Serendipity,1,GIA,Grant in Aid,Band 1,False,False,False,False,False
Serious Events Limited,2,GIA,Grant in Aid,Band 2,True,False,False,False,False
Serpentine Galleries,3,GIA,Grant in Aid,Band 3,True,False,False,False,False
"Seven Stories, The National Centre for Children's Books",2,GIA,Grant in Aid,Band 2,True,False,False,False,False
Shademakers UK Carnival Club,1,LOT,National Lottery,Band 1,True,False,False,False,False
Shakespeare Birthplace Trust,1,GIA,Grant in Aid,Band 1,False,False,False,False,False
Shape London,2,GIA,Grant in Aid,Band 2,True,False,False,False,False
Sheffield Doc/Fest,1,LOT,National Lottery,Band 1,False,False,False,False,False
Sheffield Galleries & Museums Trust,2,GIA,Grant in Aid,Band 2,True,False,False,False,False
Sheffield Theatres Trust Ltd,3,GIA,Grant in Aid,Band 3,True,False,False,False,False
Shobana Jeyasingh Dance Company,2,LOT,National Lottery,Band 2,True,False,False,False,False
Shubbak: A Window on Contemporary Arab Culture,1,LOT,National Lottery,Band 1,False,False,False,False,False
SICK! Productions,1,GIA,Grant in Aid,Band 1,False,False,False,False,False
Sinfonietta Productions Limited,2,LOT,National Lottery,Band 2,True,False,False,False,False
Siobhan Davies Dance,2,GIA,Grant in Aid,Band 2,True,False,False,False,False
Site Gallery,2,GIA,Grant in Aid,Band 2,True,False,False,False,False
Slung Low Limited,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
Small Green Shoots,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
Snape Maltings,3,GIA,Grant in Aid,Band 3,True,False,False,False,False
Society Of Chief Librarians,SSO,GIA,Grant in Aid,Sector Support Organisation,False,False,False,False,False
Soft Touch Arts Ltd,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
Soho Theatre Company,2,GIA,Grant in Aid,Band 2,True,False,False,False,False
Somerset Art Works,1,GIA,Grant in Aid,Band 1,False,False,False,False,False
Somerset Film and Video Ltd,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
Sonia Sabri Company,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
Sound UK Arts,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
SoundCity,1,GIA,Grant in Aid,Band 1,False,False,False,False,False
South Asian Arts-uk,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
South East Dance Ltd,2,GIA,Grant in Aid,Band 2,True,False,False,False,False
South East Museum Development Programme,SSO,GIA,Grant in Aid,Sector Support Organisation,True,False,False,False,True
South London Gallery,2,GIA,Grant in Aid,Band 2,True,False,False,False,False
South West Museum Development,SSO,GIA,Grant in Aid,Sector Support Organisation,True,False,False,False,True
Southampton City Council,1,GIA,Grant in Aid,Band 1,False,False,False,False,False
Southbank Centre,3,GIA,Grant in Aid,Band 3,True,False,False,True,False
Spare Tyre Theatre Company Ltd,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
Spike Island Artspace Ltd,2,LOT,National Lottery,Band 2,True,False,False,False,False
Spitalfields Festival Ltd.,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
Spread the Word,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
Square Chapel Trust,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
ss Great Britain Trust,1,GIA,Grant in Aid,Band 1,False,False,False,False,False
St Helens Council Library Service,1,GIA,Grant in Aid,Band 1,False,False,False,False,False
St Pauls Carnival (Bristol) CIC,1,GIA,Grant in Aid,Band 1,False,False,False,False,False
Stagetext,SSO,GIA,Grant in Aid,Sector Support Organisation,True,False,False,False,False
Stanley Picker Gallery,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
Stan's Cafe,1,LOT,National Lottery,Band 1,True,False,False,False,False
Stockton Arts Centre Ltd,2,GIA,Grant in Aid,Band 2,True,False,False,False,False
Stockton Borough Council Tees Valley Museum Group,2,GIA,Grant in Aid,Band 2,False,False,False,False,False
Stockton International Riverside Festival,2,GIA,Grant in Aid,Band 2,True,False,False,False,False
Stoke on Trent & North Staffordshire Theatre Trust,2,GIA,Grant in Aid,Band 2,True,False,False,False,False
Stopgap Dance Company,2,LOT,National Lottery,Band 2,True,False,False,False,False
Stratford Circus,2,GIA,Grant in Aid,Band 2,True,False,False,False,False
Streetwise Opera,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
Strike A Light,1,GIA,Grant in Aid,Band 1,False,False,False,False,False
Stroud Valleys Artspace,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
Studio 3 Arts,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
Studio Voltaire,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
Studio Wayne McGregor,2,GIA,Grant in Aid,Band 2,True,False,False,False,False
Suffolk Libraries,1,GIA,Grant in Aid,Band 1,False,False,False,False,False
Sunderland Culture,2,GIA,Grant in Aid,Band 2,False,False,False,False,False
Sunshine International Arts,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
Swindon Dance,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
Take A Part CIC,1,GIA,Grant in Aid,Band 1,False,False,False,False,False
Take Art Limited,1,LOT,National Lottery,Band 1,True,False,False,False,False
Talawa Theatre Company Ltd,2,LOT,National Lottery,Band 2,True,False,False,False,False
Talking Birds Theatre Company Limited,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
