Applicant Name,Funding Band,Funding Source (GIA or LOT),Funding Source Description,Funding Band Description,Portfolio funded in 2015-18?,Bridge Organisation,Technical Uplift,Technical Reduction,Museum Development
Beamish Museum,2,GIA,Grant in Aid,Band 2,True,False,False,True,False
Beatfreeks,1,GIA,Grant in Aid,Band 1,False,False,False,False,False
Beavers Arts Ltd.,1,GIA,Grant in Aid,Band 1,False,False,False,False,False
Bedford Creative Arts,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
Belgrade Theatre Trust (Coventry) Ltd,2,GIA,Grant in Aid,Band 2,True,False,False,False,False
Bermondsey Artists’ Group,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
Bernard Leach Trust Limited  (Leach Pottery),1,GIA,Grant in Aid,Band 1,True,False,False,False,False
Berwick Film & Media Arts Festival,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
Bharatiya Vidya Bhavan Ltd,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
Eastside Projects,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
Birmingham Contemporary Music Group,2,GIA,Grant in Aid,Band 2,True,False,False,False,False
Birmingham LGBT,1,GIA,Grant in Aid,Band 1,False,False,False,False,False
Birmingham Museums Trust,3,GIA,Grant in Aid,Band 3,True,False,False,False,False
Birmingham Opera Company,2,GIA,Grant in Aid,Band 2,True,False,False,False,False
Birmingham Repertory Theatre,3,GIA,Grant in Aid,Band 3,True,False,False,False,False
Birmingham Royal Ballet,3,GIA,Grant in Aid,Band 3,True,False,False,False,False
Black Bird/Red Rose Productions,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
Black Country Living Museum Trust,2,GIA,Grant in Aid,Band 2,True,False,False,True,False
Black Country Touring,1,LOT,National Lottery,Band 1,True,False,False,False,False
Blackpool Grand Theatre (Arts & Entertainment) Ltd,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
Blast Theory,1,LOT,National Lottery,Band 1,True,False,False,False,False
Blind Summit Education,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
Bloodaxe Books Ltd,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
Blue Elephant Theatre,1,GIA,Grant in Aid,Band 1,False,False,False,False,False
BOM (Birmingham Open Media),1,GIA,Grant in Aid,Band 1,False,False,False,False,False
Book Works,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
Borough of Poole Museum Service,2,GIA,Grant in Aid,Band 2,False,False,False,False,False
Boundless Theatre,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
Bournemouth Borough Council,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
Bournemouth Symphony Orchestra,3,LOT,National Lottery,Band 3,True,False,False,False,False
Bow Arts Trust,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
Boy Blue Entertainment,1,LOT,National Lottery,Band 1,False,False,False,False,False
Brass Bands England,SSO,GIA,Grant in Aid,Sector Support Organisation,True,False,False,False,False
Bridport Arts Centre,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
Brighton & Hove City Council,2,GIA,Grant in Aid,Band 2,True,False,False,False,False
Brighton Dome & Festival Limited,3,GIA,Grant in Aid,Band 3,True,False,False,False,False
Bristol Cultural Development Partnership,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
Bristol Museums,3,GIA,Grant in Aid,Band 3,True,False,False,False,False
Bristol Music Trust,2,GIA,Grant in Aid,Band 2,True,False,False,False,False
Bristol Old Vic and Theatre Royal Trust Ltd,3,GIA,Grant in Aid,Band 3,True,False,False,False,False
British Motor Industry Heritage Trust,1,GIA,Grant in Aid,Band 1,False,False,False,False,False
