Applicant Name,Funding Band,Alternative Name,Web address,Local Authority,Area,ACE Region,ONS Region,Funding Source (GIA or LOT),Funding Source Description,Funding Band Description,Discipline,Portfolio funded in 2015-18?,Bridge Organisation,Technical Uplift,Technical Reduction,Museum Development
Artichoke Trust,2,,http://artichoke.uk.com,Tower Hamlets,London,London,London,GIA,Grant in Aid,Band 2,Combined arts,True,False,False,False,False
Artlink Hull,1,Artlink Centre for Community Arts,http://www.artlink.uk.net,"Kingston upon Hull, City of",North,Yorkshire,Yorkshire and The Humber,GIA,Grant in Aid,Band 1,Combined arts,True,False,False,False,False
Artlink West Yorkshire,1,,http://www.artlinkwestyorks.org,Leeds,North,Yorkshire,Yorkshire and The Humber,GIA,Grant in Aid,Band 1,Combined arts,True,False,False,False,False
ArtReach (Trust) Ltd,2,,http://www.artreach.biz,Leicester,Midlands,East Midlands,East Midlands,GIA,Grant in Aid,Band 2,Combined arts,False,False,False,False,False
Arts & Health South West,1,Arts and Health South West,http://www.ahsw.org.uk,Exeter,South West,South West,South West,GIA,Grant in Aid,Band 1,Combined arts,True,False,False,False,False
Arts & Health South West,SSO,Arts and Health South West,http://www.ahsw.org.uk,Exeter,National,South West,South West,GIA,Grant in Aid,Sector Support Organisation,Combined arts,False,False,False,False,False
Arts & Heritage (PHC) Plymouth City Council,3,Plymouth City Council,http://www.plymhearts.org/pcmag,Plymouth,South West,South West,South West,GIA,Grant in Aid,Band 3,Museums,False,False,False,False,False
Arts Alive,1,Arts Alive in Shropshire and Herefordshire ,http://www.artsalive.co.uk,Powys,Midlands,West Midlands,WALES,LOT,National Lottery,Band 1,Combined arts,True,False,False,False,False
Arts Catalyst,1,,http://www.artscatalyst.org,Camden,London,London,London,LOT,National Lottery,Band 1,Visual arts,True,False,False,False,False
Arts Connect (University of Wolverhampton),SSO,University of Wolverhampton,http://www.artsconnect.co.uk,Birmingham,Midlands,West Midlands,West Midlands,LOT,National Lottery,Sector Support Organisation,Not discipline specific,True,True,False,False,False
Arts Marketing Association,SSO,,http://www.a-m-a.co.uk,Cambridge,National,East,East of England,GIA,Grant in Aid,Sector Support Organisation,Not discipline specific,False,False,False,False,False
Arts&Heritage,SSO,Arts and Heritage Ltd,http://www.artsandheritage.org.uk,Northumberland,National,North East,North East,GIA,Grant in Aid,Sector Support Organisation,Museums,False,False,False,False,False
Artsadmin,2,,http://www.artsadmin.co.uk,Tower Hamlets,London,London,London,GIA,Grant in Aid,Band 2,Combined arts,True,False,False,False,False
Artsreach,1,,http://www.artsreach.co.uk,West Dorset,South West,South West,South West,LOT,National Lottery,Band 1,Combined arts,True,False,False,False,False
Artswork,SSO,,http://www.artswork.org.uk,Southampton,South East,South East,South East,LOT,National Lottery,Sector Support Organisation,Not discipline specific,True,True,False,False,False
Artworks Creative Communities,1,,http://www.artworkscreative.org.uk,Bradford,North,Yorkshire,Yorkshire and The Humber,GIA,Grant in Aid,Band 1,Combined arts,True,False,False,False,False
Arvon Foundation,2,Arvon,http://arvon.org,Islington,London,London,London,GIA,Grant in Aid,Band 2,Literature,True,False,False,False,False
Asian Arts Agency,2,,http://www.asianartsagency.co.uk,"Bristol, City of",South West,South West,South West,LOT,National Lottery,Band 2,Combined arts,True,False,False,False,False
Aspex Visual Arts Trust,1,,http://www.aspex.org.uk,Portsmouth,South West,South West,South East,GIA,Grant in Aid,Band 1,Visual arts,True,False,False,False,False
Association for Cultural Enterprises,SSO,,http://acenterprises.org.uk,Northumberland,National,North East,North East,GIA,Grant in Aid,Sector Support Organisation,Museums,False,False,False,False,False
Association of Independent Museums,SSO,,http://www.aim-museums.co.uk,Shropshire,National,West Midlands,West Midlands,GIA,Grant in Aid,Sector Support Organisation,Museums,False,False,False,False,False
Attitude is Everything,SSO,,http://www.attitudeiseverything.org.uk,Camden,National,London,London,GIA,Grant in Aid,Sector Support Organisation,Music,True,False,False,False,False
Aurora Orchestra,1,,http://www.auroraorchestra.com,Islington,London,London,London,GIA,Grant in Aid,Band 1,Music,True,False,False,False,False
Auto Italia,1,Auto Italia South East LTD,http://www.autoitaliasoutheast.org,Tower Hamlets,London,London,London,GIA,Grant in Aid,Band 1,Visual arts,True,False,False,False,False
Autograph ABP,2,,http://www.autograph-abp.co.uk,Hackney,London,London,London,GIA,Grant in Aid,Band 2,Visual arts,True,False,False,False,False
Avant Garde Dance Company,1,,http://www.avantgardedance.com,Hackney,London,London,London,LOT,National Lottery,Band 1,Dance,False,False,False,False,False
B3 Media Limited,1,,http://www.b3media.net,Hackney,London,London,London,GIA,Grant in Aid,Band 1,Combined arts,True,False,False,False,False
Baby People,1,,http://www.babypeople.co.uk,Derby,Midlands,East Midlands,East Midlands,GIA,Grant in Aid,Band 1,Music,True,False,False,False,False
Backlit,1,,http://www.backlit.org.uk,Nottingham,Midlands,East Midlands,East Midlands,GIA,Grant in Aid,Band 1,Visual arts,False,False,False,False,False
Balbir Singh Dance Company,1,,http://www.balbirsinghdance.co.uk/,Leeds,North,Yorkshire,Yorkshire and The Humber,LOT,National Lottery,Band 1,Dance,True,False,False,False,False
Ballet Black,1,,http://www.balletblack.co.uk,Westminster,London,London,London,LOT,National Lottery,Band 1,Dance,False,False,False,False,False
Ballet Lorent Limited,2,,http://www.balletlorent.com,Newcastle upon Tyne,North,North East,North East,LOT,National Lottery,Band 2,Dance,True,False,False,False,False
BalletBoyz Ltd,2,,http://www.balletboyz.com,Kingston upon Thames,London,London,London,GIA,Grant in Aid,Band 2,Dance,True,False,False,False,False
Baltic Flour Mills Visual Arts Trust,3,,http://www.balticmill.com,Gateshead,North,North East,North East,GIA,Grant in Aid,Band 3,Visual arts,True,False,False,False,False
Bamboozle Theatre Company,1,,http://www.bamboozletheatre.co.uk,Leicester,Midlands,East Midlands,East Midlands,LOT,National Lottery,Band 1,Theatre,False,False,False,False,False
Barbican Centre,2,,http://www.barbican.org.uk,City of London,London,London,London,GIA,Grant in Aid,Band 2,Combined arts,True,False,False,False,False
"Barbican Theatre, Plymouth",1,Rent-a-Role Drama Service t/a Barbican Theatre,http://www.barbicantheatre.co.uk,Plymouth,South West,South West,South West,GIA,Grant in Aid,Band 1,Combined arts,True,False,False,False,False
Barnsley Civic Enterprise Ltd,1,,http://www.barnsleycivic.co.uk,Barnsley,North,Yorkshire,Yorkshire and The Humber,GIA,Grant in Aid,Band 1,Combined arts,True,False,False,False,False
Barnsley Museums,2,Barnsley Council,http://www.barnsley-museums.com,Barnsley,North,Yorkshire,Yorkshire and The Humber,GIA,Grant in Aid,Band 2,Museums,False,False,False,False,False
Battersea Arts Centre,2,,http://www.bac.org.uk,Wandsworth,London,London,London,GIA,Grant in Aid,Band 2,Theatre,True,False,False,False,False
BCB,1,THE CLAY FOUNDATION CIO t/a British Ceramics Biennial,http://www.britishceramicsbiennial.com,Stoke-on-Trent,Midlands,West Midlands,West Midlands,GIA,Grant in Aid,Band 1,Visual arts,False,False,False,False,False
BE FESTIVAL CIC,1,,http://www.befestival.org,Birmingham,Midlands,West Midlands,West Midlands,LOT,National Lottery,Band 1,Combined arts,True,False,False,False,False
Beaford Arts,1,,http://www.beaford-arts.org.uk,North Devon,South West,South West,South West,LOT,National Lottery,Band 1,Combined arts,True,False,False,False,False
Beamish Museum,2,"Beamish Museum, The Living Museum of the North",http://www.beamish.org.uk,County Durham,North,North East,North East,GIA,Grant in Aid,Band 2,Museums,True,False,False,True,False
Beatfreeks,1,Beatfreeks Arts Ltd.,http://www.beatfreeks.com,Birmingham,Midlands,West Midlands,West Midlands,GIA,Grant in Aid,Band 1,Combined arts,False,False,False,False,False
Beavers Arts Ltd.,1,,http://www.b-arts.org.uk/,Stoke-on-Trent,Midlands,West Midlands,West Midlands,GIA,Grant in Aid,Band 1,Combined arts,False,False,False,False,False
Bedford Creative Arts,1,,http://bedfordcreativearts.org.uk,Bedford,South East,East,East of England,GIA,Grant in Aid,Band 1,Combined arts,True,False,False,False,False
Belgrade Theatre Trust (Coventry) Ltd,2,,http://www.belgrade.co.uk,Coventry,Midlands,West Midlands,West Midlands,GIA,Grant in Aid,Band 2,Theatre,True,False,False,False,False
Bermondsey Artists’ Group,1,,http://www.cgplondon.org,Southwark,London,London,London,GIA,Grant in Aid,Band 1,Visual arts,True,False,False,False,False
Bernard Leach Trust Limited  (Leach Pottery),1,,http://www.leachpottery.com,Cornwall,South West,South West,South West,GIA,Grant in Aid,Band 1,Visual arts,True,False,False,False,False
Berwick Film & Media Arts Festival,1,Berwick Film and Media Arts Festival,http://www.berwickfilm-artsfest.com,Northumberland,North,North East,North East,GIA,Grant in Aid,Band 1,Visual arts,True,False,False,False,False
Bharatiya Vidya Bhavan Ltd,1,,http://www.bhavan.net,Hammersmith and Fulham,London,London,London,GIA,Grant in Aid,Band 1,Music,True,False,False,False,False
Eastside Projects,1,Birmingham City University,http://www.bcu.ac.uk,Birmingham,Midlands,West Midlands,West Midlands,GIA,Grant in Aid,Band 1,Visual arts,True,False,False,False,False
Birmingham Contemporary Music Group,2,,http://www.bcmg.org.uk,Birmingham,Midlands,West Midlands,West Midlands,GIA,Grant in Aid,Band 2,Music,True,False,False,False,False
Birmingham LGBT,1,,http://www.birminghamlgbt.org,Birmingham,Midlands,West Midlands,West Midlands,GIA,Grant in Aid,Band 1,Combined arts,False,False,False,False,False
Birmingham Museums Trust,3,,http://www.birminghammuseums.org.uk/,Birmingham,Midlands,West Midlands,West Midlands,GIA,Grant in Aid,Band 3,Museums,True,False,False,False,False
Birmingham Opera Company,2,,http://www.birminghamopera.org.uk,Birmingham,Midlands,West Midlands,West Midlands,GIA,Grant in Aid,Band 2,Music,True,False,False,False,False
Birmingham Repertory Theatre,3,,http://www.birmingham-rep.co.uk,Birmingham,Midlands,West Midlands,West Midlands,GIA,Grant in Aid,Band 3,Theatre,True,False,False,False,False
Birmingham Royal Ballet,3,,http://www.brb.org.uk,Birmingham,Midlands,West Midlands,West Midlands,GIA,Grant in Aid,Band 3,Dance,True,False,False,False,False
Black Bird/Red Rose Productions,1,,http://www.markbrucecompany.com,Mendip,South West,South West,South West,GIA,Grant in Aid,Band 1,Dance,True,False,False,False,False
Black Country Living Museum Trust,2,,http://www.bclm.com,Dudley,Midlands,West Midlands,West Midlands,GIA,Grant in Aid,Band 2,Museums,True,False,False,True,False
Black Country Touring,1,,http://www.bctouring.co.uk,Sandwell,Midlands,West Midlands,West Midlands,LOT,National Lottery,Band 1,Combined arts,True,False,False,False,False
Blackpool Grand Theatre (Arts & Entertainment) Ltd,1,,http://www.blackpoolgrand.co.uk,Blackpool,North,North West,North West,GIA,Grant in Aid,Band 1,Dance,True,False,False,False,False
Blast Theory,1,,http://www.blasttheory.co.uk,Brighton and Hove,South East,South East,South East,LOT,National Lottery,Band 1,Combined arts,True,False,False,False,False
Blind Summit Education,1,,http://www.blindsummit.com,Islington,London,London,London,GIA,Grant in Aid,Band 1,Theatre,True,False,False,False,False
Bloodaxe Books Ltd,1,,http://www.bloodaxebooks.com,Northumberland,North,North East,North East,GIA,Grant in Aid,Band 1,Literature,True,False,False,False,False
Blue Elephant Theatre,1,,http://www.blueelephanttheatre.co.uk,Southwark,London,London,London,GIA,Grant in Aid,Band 1,Theatre,False,False,False,False,False
BOM (Birmingham Open Media),1,Birmingham Open Media CIC,http://www.bom.org.uk,Birmingham,Midlands,West Midlands,West Midlands,GIA,Grant in Aid,Band 1,Visual arts,False,False,False,False,False
Book Works,1,,http://www.bookworks.org.uk,Hackney,London,London,London,GIA,Grant in Aid,Band 1,Visual arts,True,False,False,False,False
Borough of Poole Museum Service,2,,-,Poole,South West,South West,South West,GIA,Grant in Aid,Band 2,Museums,False,False,False,False,False
Boundless Theatre,1,,http://www.boundlesstheatre.org.uk,Southwark,London,London,London,GIA,Grant in Aid,Band 1,Theatre,True,False,False,False,False
Bournemouth Borough Council,1,,http://www.bournemouth.gov.uk,Bournemouth,South West,South West,South West,GIA,Grant in Aid,Band 1,Combined arts,True,False,False,False,False
Bournemouth Symphony Orchestra,3,,http://www.bsolive.com,Poole,South West,South West,South West,LOT,National Lottery,Band 3,Music,True,False,False,False,False
Bow Arts Trust,1,,http://www.bowarts.org,Tower Hamlets,London,London,London,GIA,Grant in Aid,Band 1,Visual arts,True,False,False,False,False
Boy Blue Entertainment,1,,http://www.boyblueent.com,City of London,London,London,London,LOT,National Lottery,Band 1,Dance,False,False,False,False,False
Brass Bands England,SSO,,http://www.brassbandsengland.co.uk,Barnsley,National,Yorkshire,Yorkshire and The Humber,GIA,Grant in Aid,Sector Support Organisation,Music,True,False,False,False,False
Bridport Arts Centre,1,,http://www.bridport-arts.com,West Dorset,South West,South West,South West,GIA,Grant in Aid,Band 1,Combined arts,True,False,False,False,False
Brighton & Hove City Council,2,Royal Pavilion & Museums,http://www.brightonmuseums.org.uk,Brighton and Hove,South East,South East,South East,GIA,Grant in Aid,Band 2,Museums,True,False,False,False,False
Brighton Dome & Festival Limited,3,,http://www.brightonfestival.org,Brighton and Hove,South East,South East,South East,GIA,Grant in Aid,Band 3,Combined arts,True,False,False,False,False
Bristol Cultural Development Partnership,1,,http://www.ideasfestival.co.uk,North Somerset,South West,South West,South West,GIA,Grant in Aid,Band 1,Combined arts,True,False,False,False,False
Bristol Museums,3,Bristol City Council,https://www.bristol.gov.uk/,"Bristol, City of",South West,South West,South West,GIA,Grant in Aid,Band 3,Museums,True,False,False,False,False
Bristol Music Trust,2,,http://www.colstonhall.org/,"Bristol, City of",South West,South West,South West,GIA,Grant in Aid,Band 2,Music,True,False,False,False,False
Bristol Old Vic and Theatre Royal Trust Ltd,3,,http://www.bristololdvic.org.uk,"Bristol, City of",South West,South West,South West,GIA,Grant in Aid,Band 3,Theatre,True,False,False,False,False
British Motor Industry Heritage Trust,1,,http://www.britishmotormuseum.co.uk,Stratford-on-Avon,Midlands,West Midlands,West Midlands,GIA,Grant in Aid,Band 1,Museums,False,False,False,False,False
British Underground Ltd,1,,http://www.britishunderground.net,Lambeth,London,London,London,GIA,Grant in Aid,Band 1,Music,True,False,False,False,False
British Youth Opera,1,,http://www.byo.org.uk,Southwark,London,London,London,GIA,Grant in Aid,Band 1,Music,True,False,False,False,False
Britten Sinfonia,2,,http://www.brittensinfonia.com,Cambridge,South East,East,East of England,GIA,Grant in Aid,Band 2,Music,True,False,False,False,False
Brownswood Music Ltd,1,,http://www.gillespetersonworldwide.com/,Hackney,London,London,London,GIA,Grant in Aid,Band 1,Music,True,False,False,False,False
b-side Multimedia Festival CIC,1,,http://www.b-side.org.uk,Weymouth and Portland,South West,South West,South West,GIA,Grant in Aid,Band 1,Combined arts,True,False,False,False,False
Bucks County Museum,1,Buckinghamshire County Museum Trust,http://www.buckscountymuseum.org,Aylesbury Vale,South East,South East,South East,GIA,Grant in Aid,Band 1,Museums,False,False,False,False,False
Bureau of Silly Ideas,1,,http://www.bureauofsillyideas.com,Lambeth,London,London,London,GIA,Grant in Aid,Band 1,Combined arts,True,False,False,False,False
Burnley Youth Theatre,1,,http://www.burnleyyouththeatre.org,Burnley,North,North West,North West,GIA,Grant in Aid,Band 1,Theatre,True,False,False,False,False
Burton Art Gallery and Museum,1,The Burton at Bideford,http://www.burtonartgallery.co.uk,Torridge,South West,South West,South West,GIA,Grant in Aid,Band 1,Visual arts,False,False,False,False,False
Buxton Arts Festival Ltd,1,,http://buxtonfestival.co.uk,High Peak,Midlands,East Midlands,East Midlands,GIA,Grant in Aid,Band 1,Music,True,False,False,False,False
Camden Arts Centre,2,,http://www.camdenartscentre.org,Camden,London,London,London,GIA,Grant in Aid,Band 2,Visual arts,True,False,False,False,False
Camden People's Theatre,1,,http://www.cptheatre.co.uk,Camden,London,London,London,GIA,Grant in Aid,Band 1,Theatre,True,False,False,False,False
Candoco Dance Company,2,,http://www.candoco.co.uk,Islington,London,London,London,LOT,National Lottery,Band 2,Dance,True,False,False,False,False
CapeUK,SSO,,http://www.capeuk.org,Leeds,North,Yorkshire,Yorkshire and The Humber,LOT,National Lottery,Sector Support Organisation,Not discipline specific,True,True,False,False,False
Capsule Events Ltd,1,,http://www.capsule.org.uk,Birmingham,Midlands,West Midlands,West Midlands,GIA,Grant in Aid,Band 1,Music,False,False,False,False,False
Carcanet Press Limited,1,,http://www.carcanet.co.uk,Manchester,North,North West,North West,GIA,Grant in Aid,Band 1,Literature,True,False,False,False,False
Cardboard Citizens,1,,http://www.cardboardcitizens.org.uk,Tower Hamlets,London,London,London,LOT,National Lottery,Band 1,Theatre,True,False,False,False,False
Carnival Village Trust,2,,http://carnivalvillage.org.uk/,Kensington and Chelsea,London,London,London,GIA,Grant in Aid,Band 2,Combined arts,True,False,False,False,False
Carousel Project,1,,http://www.carousel.org.uk,Brighton and Hove,South East,South East,South East,GIA,Grant in Aid,Band 1,Combined arts,True,False,False,False,False
Cast,2,Doncaster Performance Venue Ltd,http://www.castindoncaster.com,Doncaster,North,Yorkshire,Yorkshire and The Humber,GIA,Grant in Aid,Band 2,Combined arts,True,False,False,False,False
Castlefield Gallery,1,,http://www.castlefieldgallery.co.uk,Manchester,North,North West,North West,GIA,Grant in Aid,Band 1,Visual arts,True,False,False,False,False
Cause4,SSO,,http://www.cause4.co.uk,Leeds,National,Yorkshire,Yorkshire and The Humber,GIA,Grant in Aid,Sector Support Organisation,Not discipline specific,False,False,False,False,False
Centre for Chinese Contemporary Art,2,,http://www.cfccaorg.uk,Manchester,North,North West,North West,GIA,Grant in Aid,Band 2,Visual arts,True,False,False,False,False
Chapel Arts Studios,1,Test Valley Arts Foundation,http://www.chapelartsstudios.co.uk,Test Valley,South West,South West,South East,LOT,National Lottery,Band 1,Visual arts,False,False,False,False,False
Charnwood Arts,1,,http://www.charnwoodarts.com,Charnwood,Midlands,East Midlands,East Midlands,GIA,Grant in Aid,Band 1,Combined arts,True,False,False,False,False
Chatham Historic Dockyard Trust,1,,http://www.thedockyard.co.uk,Medway,South East,South East,South East,GIA,Grant in Aid,Band 1,Museums,False,False,False,False,False
Cheek by Jowl,1,,http://www.cheekbyjowl.com,City of London,London,London,London,LOT,National Lottery,Band 1,Theatre,True,False,False,False,False
Cheltenham Festivals,1,,http://www.cheltenhamfestivals.com,Cheltenham,South West,South West,South West,GIA,Grant in Aid,Band 1,Combined arts,True,False,False,False,False
Cheshire Dance,1,Cheshire Dance Workshop Ltd,http://www.cheshiredance.org,Cheshire West and Chester,North,North West,North West,GIA,Grant in Aid,Band 1,Dance,True,False,False,False,False
Cheshire West and Chester Council,1,,http://www.cheshireruraltouringarts.co.uk,Cheshire West and Chester,North,North West,North West,LOT,National Lottery,Band 1,Combined arts,True,False,False,False,False
Chester Performing Arts Centre Ltd,1,,http://www.storyhouse.com,Cheshire West and Chester,North,North West,North West,GIA,Grant in Aid,Band 1,Combined arts,True,False,False,False,False
Chichester Festival Theatre,3,,http://www.cft.org.uk,Chichester,South East,South East,South East,GIA,Grant in Aid,Band 3,Theatre,True,False,False,False,False
Children's Discovery Centre East London,1,,http://www.discover.org.uk,Newham,London,London,London,GIA,Grant in Aid,Band 1,Literature,True,False,False,False,False
China Plate,1,,http://www.chinaplatetheatre.com,Birmingham,Midlands,West Midlands,West Midlands,GIA,Grant in Aid,Band 1,Theatre,False,False,False,False,False
Chinese Arts Space,1,,http://www.casuk.org,Westminster,London,London,London,GIA,Grant in Aid,Band 1,Combined arts,False,False,False,False,False
Chisenhale Gallery,1,,http://www.chisenhale.org.uk,Tower Hamlets,London,London,London,GIA,Grant in Aid,Band 1,Visual arts,True,False,False,False,False
Chris Goode and Company,1,,http://chrisgoodeandcompany.co.uk,Waltham Forest,London,London,London,GIA,Grant in Aid,Band 1,Theatre,False,False,False,False,False
Christ Church Oxford United Clubs Ltd,2,,http://www.ovalhouse.com,Lambeth,London,London,London,GIA,Grant in Aid,Band 2,Theatre,True,False,False,False,False
Chrysalis Arts Development Ltd,1,,http://www.chrysalisarts.com,Craven,North,Yorkshire,Yorkshire and The Humber,GIA,Grant in Aid,Band 1,Visual arts,True,False,False,False,False
Cinderford Artspace,1,,http://www.artspacecinderford.org,Forest of Dean,South West,South West,South West,GIA,Grant in Aid,Band 1,Combined arts,True,False,False,False,False
City Arts Nottingham,1,,http://www.city-arts.org.uk,Nottingham,Midlands,East Midlands,East Midlands,GIA,Grant in Aid,Band 1,Combined arts,True,False,False,False,False
City of Birmingham Symphony orchestra,3,,http://www.cbso.co.uk,Birmingham,Midlands,West Midlands,West Midlands,LOT,National Lottery,Band 3,Music,True,False,False,False,False
Clean Break Theatre Company Ltd,1,,http://www.cleanbreak.org.uk,Camden,London,London,London,LOT,National Lottery,Band 1,Theatre,True,False,False,False,False
Clod Ensemble,1,,http://www.clodensemble.com,Hackney,London,London,London,GIA,Grant in Aid,Band 1,Theatre,True,False,False,False,False
Cohesion Plus Kent,1,,http://www.cohesionplus.com,Gravesham,South East,South East,South East,GIA,Grant in Aid,Band 1,Combined arts,False,False,False,False,False
Colchester Arts Centre,1,,http://www.colchesterartscentre.com,Colchester,South East,East,East of England,GIA,Grant in Aid,Band 1,Combined arts,True,False,False,False,False
Colchester Borough Council,1,,http://cimuseums.org.uk,Colchester,South East,East,East of England,GIA,Grant in Aid,Band 1,Museums,False,False,False,False,False
Colchester Mercury Theatre Ltd.,2,,http://www.mercurytheatre.co.uk,Colchester,South East,East,East of England,GIA,Grant in Aid,Band 2,Theatre,True,False,False,False,False
Collar and TIE Ltd,1,,http://www.candt.org,Worcester,Midlands,West Midlands,West Midlands,GIA,Grant in Aid,Band 1,Theatre,True,False,False,False,False
Collections Trust,SSO,,http://www.collectionstrust.org.uk,Kensington and Chelsea,National,London,London,GIA,Grant in Aid,Sector Support Organisation,Museums,False,False,False,False,False
Collective Encounters,1,,http://www.collective-encounters.org.uk,Liverpool,North,North West,North West,GIA,Grant in Aid,Band 1,Theatre,True,False,False,False,False
Comma Press,1,,http://commapress.co.uk/,Manchester,North,North West,North West,GIA,Grant in Aid,Band 1,Literature,True,False,False,False,False
Common Wealth,1,,http://www.commonwealththeatre.co.uk,Bradford,North,Yorkshire,Yorkshire and The Humber,LOT,National Lottery,Band 1,Theatre,False,False,False,False,False
Commonword Enterprises Limited,1,,http://www.cultureword.org.uk,Manchester,North,North West,North West,GIA,Grant in Aid,Band 1,Literature,True,False,False,False,False
Community and Cultural Services,1,Cambridgeshire County Council,http://www.cambridgeshire.gov.uk/,Cambridge,South East,East,East of England,GIA,Grant in Aid,Band 1,Libraries,False,False,False,False,False
Community Arts North West,1,,http://can.uk.com,Manchester,North,North West,North West,GIA,Grant in Aid,Band 1,Combined arts,True,False,False,False,False
Community Music Ltd,1,,http://www.cmsounds.com,Tower Hamlets,London,London,London,GIA,Grant in Aid,Band 1,Music,True,False,False,False,False
Company Chameleon,1,,http://www.companychameleon.com,Manchester,North,North West,North West,LOT,National Lottery,Band 1,Dance,True,False,False,False,False
Compton Verney House Trust,1,,http://www.comptonverney.org.uk,Stratford-on-Avon,Midlands,West Midlands,West Midlands,GIA,Grant in Aid,Band 1,Museums,False,False,False,False,False
Coney Ltd,1,,http://coneyhq.org/,Tower Hamlets,London,London,London,GIA,Grant in Aid,Band 1,Theatre,True,False,False,False,False
Contemporary Art Society,1,,http://contemporaryartsociety.org,Islington,London,London,London,GIA,Grant in Aid,Band 1,Visual arts,True,False,False,False,False
Contemporary Dance Trust,3,,http://www.theplace.org.uk,Camden,London,London,London,GIA,Grant in Aid,Band 3,Dance,True,False,False,False,False
Continental Drifts,1,,http://continentaldrifts.co.uk/,Haringey,London,London,London,GIA,Grant in Aid,Band 1,Music,True,False,False,False,False
Corali,1,Corali Dance Company,http://www.corali.org.uk,Lambeth,London,London,London,GIA,Grant in Aid,Band 1,Dance,False,False,False,False,False
Corby Cube Theatre Trust,1,,http://www.thecorecorby.com,Corby,Midlands,East Midlands,East Midlands,GIA,Grant in Aid,Band 1,Combined arts,True,False,False,False,False
Corn Exchange (Newbury) Trust,1,,http://www.cornexchangenew.com,West Berkshire,South East,South East,South East,GIA,Grant in Aid,Band 1,Combined arts,True,False,False,False,False
Cornwall Museums Partnership,2,,http://www.cornwallmuseumspartnership.org.uk,Cornwall,South West,South West,South West,GIA,Grant in Aid,Band 2,Museums,True,False,False,False,False
Counterpoints Arts,1,,http://www.counterpoiuntsarts.org.uk,Hackney,London,London,London,GIA,Grant in Aid,Band 1,Combined arts,True,False,False,False,False
Crafts Council,3,,http://www.craftscouncil.org.uk,Islington,London,London,London,LOT,National Lottery,Band 3,Visual arts,True,False,False,False,False
Craftspace,1,,http://www.craftspace.co.uk,Birmingham,Midlands,West Midlands,West Midlands,GIA,Grant in Aid,Band 1,Visual arts,True,False,False,False,False
Create Gloucestershire,SSO,,http://www.creategloucestershire.co.uk,Stroud,South West,South West,South West,GIA,Grant in Aid,Sector Support Organisation,Not discipline specific,False,False,False,False,False
Create London,1,,http://createlondon.org,City of London,London,London,London,GIA,Grant in Aid,Band 1,Visual arts,True,False,False,False,False
Create Studios Digital Media CIC,1,,http://www.createstudios.org.uk,Swindon,South West,South West,South West,GIA,Grant in Aid,Band 1,Visual arts,False,False,False,False,False
Creative & Cultural Skills,SSO,Creative and Cultural Industries Ltd ,http://www.ccskills.org.uk,Thurrock,National,East,East of England,GIA,Grant in Aid,Sector Support Organisation,Not discipline specific,True,False,False,False,False
Creative Arts East,1,,http://Www.creativeartseast.co.uk,South Norfolk,South East,East,East of England,LOT,National Lottery,Band 1,Combined arts,True,False,False,False,False
Creative Foundation,2,,http://www.creativefoundation.org.uk,Shepway,South East,South East,South East,GIA,Grant in Aid,Band 2,Visual arts,False,False,False,False,False
Creative Kernow Ltd,1,,http://www.creativekernow.org.uk,Cornwall,South West,South West,South West,LOT,National Lottery,Band 1,Combined arts,True,False,False,False,False
Creative Sector Services CIC,SSO,,http://www.creativeunited.org.uk,Westminster,National,London,London,GIA,Grant in Aid,Sector Support Organisation,Not discipline specific,False,False,False,False,False
Creative Skillset,SSO,Creative Skillset - Sector Skills Council Limited,http://www.creativeskillset.org,Westminster,National,London,London,GIA,Grant in Aid,Sector Support Organisation,Not discipline specific,False,False,False,False,False
Creativity Works,1,Creativity Works for Everyone,http://www.creativityworks.org.uk,Bath and North East Somerset,South West,South West,South West,GIA,Grant in Aid,Band 1,Combined arts,True,False,False,False,False
Crescent Arts,1,,http://www.crescentarts.co.uk,Scarborough,North,Yorkshire,Yorkshire and The Humber,GIA,Grant in Aid,Band 1,Visual arts,True,False,False,False,False
Crying Out Loud,1,,http://www.cryingoutloud.org,Westminster,London,London,London,LOT,National Lottery,Band 1,Combined arts,True,False,False,False,False
Cubitt Artists Limited,1,,http://www.cubittartists.org.uk,Islington,London,London,London,GIA,Grant in Aid,Band 1,Visual arts,True,False,False,False,False
Culture Coventry,2,,http://www.culturecoventry.com,Coventry,Midlands,West Midlands,West Midlands,GIA,Grant in Aid,Band 2,Museums,False,False,False,False,False
Culture Squared CIC,2,,http://www.bradfordliteraturefestival.co.uk,Bradford,North,Yorkshire,Yorkshire and The Humber,GIA,Grant in Aid,Band 2,Literature,False,False,False,False,False
"Culture, Learning and Libraries (Midlands) - Library Service",1,,http://www.inspireculture.org.uk,Nottingham,Midlands,East Midlands,East Midlands,GIA,Grant in Aid,Band 1,Libraries,False,False,False,False,False
Culture24,SSO,,http://www.WeAreCulture24.org.uk,Brighton and Hove,National,South East,South East,GIA,Grant in Aid,Sector Support Organisation,Museums,False,False,False,False,False
CultureMix Arts Ltd,1,,http://www.culturemixarts.co.uk,Reading,South East,South East,South East,GIA,Grant in Aid,Band 1,Combined arts,False,False,False,False,False
Cumbria Theatre Trust,2,,http://www.theatrebythelake.com,Allerdale,North,North West,North West,GIA,Grant in Aid,Band 2,Theatre,True,False,False,False,False
