Applicant Name,Funding Band,Year,Amount,Period,Type
Boy Blue Entertainment,1,2015,0,2015-2018,Fund
Brass Bands England,SSO,2015,142000,2015-2018,Fund
Bridport Arts Centre,1,2015,57412,2015-2018,Fund
Brighton & Hove City Council,2,2015,698507,2015-2018,Fund
Brighton Dome & Festival Limited,3,2015,1149921,2015-2018,Fund
Bristol Cultural Development Partnership,1,2015,50289,2015-2018,Fund
Bristol Museums,3,2015,1576082,2015-2018,Fund
Bristol Music Trust,2,2015,325000,2015-2018,Fund
Bristol Old Vic and Theatre Royal Trust Ltd,3,2015,1228381,2015-2018,Fund
British Motor Industry Heritage Trust,1,2015,0,2015-2018,Fund
British Underground Ltd,1,2015,151406,2015-2018,Fund
British Youth Opera,1,2015,42621,2015-2018,Fund
Britten Sinfonia,2,2015,399261,2015-2018,Fund
Brownswood Music Ltd,1,2015,89000,2015-2018,Fund
b-side Multimedia Festival CIC,1,2015,133651,2015-2018,Fund
Bucks County Museum,1,2015,0,2015-2018,Fund
Bureau of Silly Ideas,1,2015,40231,2015-2018,Fund
Burnley Youth Theatre,1,2015,63365,2015-2018,Fund
Burton Art Gallery and Museum,1,2015,0,2015-2018,Fund
Buxton Arts Festival Ltd,1,2015,120000,2015-2018,Fund
Camden Arts Centre,2,2015,919673,2015-2018,Fund
Camden People's Theatre,1,2015,70000,2015-2018,Fund
Candoco Dance Company,2,2015,398189,2015-2018,Fund
CapeUK,SSO,2015,1024721,2015-2018,Fund
Capsule Events Ltd,1,2015,0,2015-2018,Fund
Carcanet Press Limited,1,2015,120696,2015-2018,Fund
Cardboard Citizens,1,2015,160000,2015-2018,Fund
Carnival Village Trust,2,2015,400000,2015-2018,Fund
Carousel Project,1,2015,197488,2015-2018,Fund
Cast,2,2015,320000,2015-2018,Fund
Castlefield Gallery,1,2015,70000,2015-2018,Fund
Cause4,SSO,2015,0,2015-2018,Fund
Centre for Chinese Contemporary Art,2,2015,287481,2015-2018,Fund
Chapel Arts Studios,1,2015,0,2015-2018,Fund
Charnwood Arts,1,2015,131758,2015-2018,Fund
Chatham Historic Dockyard Trust,1,2015,0,2015-2018,Fund
Cheek by Jowl,1,2015,245677,2015-2018,Fund
Cheltenham Festivals,1,2015,213551,2015-2018,Fund
Cheshire Dance,1,2015,88207,2015-2018,Fund
Cheshire West and Chester Council,1,2015,87398,2015-2018,Fund
Chester Performing Arts Centre Ltd,1,2015,223895,2015-2018,Fund
Chichester Festival Theatre,3,2015,1740213,2015-2018,Fund
Children's Discovery Centre East London,1,2015,71870,2015-2018,Fund
China Plate,1,2015,0,2015-2018,Fund
Chinese Arts Space,1,2015,0,2015-2018,Fund
Chisenhale Gallery,1,2015,165378,2015-2018,Fund
Chris Goode and Company,1,2015,0,2015-2018,Fund
Christ Church Oxford United Clubs Ltd,2,2015,475527,2015-2018,Fund
Chrysalis Arts Development Ltd,1,2015,100678,2015-2018,Fund
Cinderford Artspace,1,2015,47948,2015-2018,Fund
City Arts Nottingham,1,2015,53408,2015-2018,Fund
City of Birmingham Symphony orchestra,3,2015,2180983,2015-2018,Fund
Clean Break Theatre Company Ltd,1,2015,216195,2015-2018,Fund
Clod Ensemble,1,2015,120696,2015-2018,Fund
Cohesion Plus Kent,1,2015,0,2015-2018,Fund
Colchester Arts Centre,1,2015,190695,2015-2018,Fund
Colchester Borough Council,1,2015,0,2015-2018,Fund
Colchester Mercury Theatre Ltd.,2,2015,777378,2015-2018,Fund
Collar and TIE Ltd,1,2015,71383,2015-2018,Fund
Collections Trust,SSO,2015,0,2015-2018,Fund
Collective Encounters,1,2015,80015,2015-2018,Fund
Comma Press,1,2015,72030,2015-2018,Fund
Common Wealth,1,2015,0,2015-2018,Fund
Commonword Enterprises Limited,1,2015,94247,2015-2018,Fund
Community and Cultural Services,1,2015,0,2015-2018,Fund
Community Arts North West,1,2015,191101,2015-2018,Fund
Community Music Ltd,1,2015,133961,2015-2018,Fund
Company Chameleon,1,2015,196235,2015-2018,Fund
Compton Verney House Trust,1,2015,0,2015-2018,Fund
Coney Ltd,1,2015,122828,2015-2018,Fund
Contemporary Art Society,1,2015,168324,2015-2018,Fund
Contemporary Dance Trust,3,2015,1793985,2015-2018,Fund
Continental Drifts,1,2015,119996,2015-2018,Fund
Corali,1,2015,0,2015-2018,Fund
Corby Cube Theatre Trust,1,2015,140811,2015-2018,Fund
Corn Exchange (Newbury) Trust,1,2015,235000,2015-2018,Fund
Cornwall Museums Partnership,2,2015,500000,2015-2018,Fund
Counterpoints Arts,1,2015,80000,2015-2018,Fund
Crafts Council,3,2015,2503853,2015-2018,Fund
Craftspace,1,2015,211553,2015-2018,Fund
Create Gloucestershire,SSO,2015,0,2015-2018,Fund
Create London,1,2015,150000,2015-2018,Fund
Create Studios Digital Media CIC,1,2015,0,2015-2018,Fund
Creative & Cultural Skills,SSO,2015,270000,2015-2018,Fund
Creative Arts East,1,2015,150000,2015-2018,Fund
Creative Foundation,2,2015,0,2015-2018,Fund
Creative Kernow Ltd,1,2015,212675,2015-2018,Fund
Creative Sector Services CIC,SSO,2015,0,2015-2018,Fund
Creative Skillset,SSO,2015,0,2015-2018,Fund
Creativity Works,1,2015,90522,2015-2018,Fund
Crescent Arts,1,2015,69788,2015-2018,Fund
Crying Out Loud,1,2015,211217,2015-2018,Fund
Cubitt Artists Limited,1,2015,112095,2015-2018,Fund
Culture Coventry,2,2015,0,2015-2018,Fund
Culture Squared CIC,2,2015,0,2015-2018,Fund
"Culture, Learning and Libraries (Midlands) - Library Service",1,2015,0,2015-2018,Fund
Culture24,SSO,2015,0,2015-2018,Fund
CultureMix Arts Ltd,1,2015,0,2015-2018,Fund
Cumbria Theatre Trust,2,2015,604066,2015-2018,Fund
curious directive,1,2015,0,2015-2018,Fund
Curious Minds,SSO,2015,1335323,2015-2018,Fund
DaDaFest,1,2015,193052,2015-2018,Fund
Daily Life Ltd,1,2015,88510,2015-2018,Fund
Dance City,2,2015,553856,2015-2018,Fund
Dance Consortium,2,2015,489367,2015-2018,Fund
Dance Umbrella,2,2015,352028,2015-2018,Fund
Dance United Yorkshire,1,2015,90000,2015-2018,Fund
Dance4,2,2015,471014,2015-2018,Fund
DanceEast,2,2015,810153,2015-2018,Fund
Dancefest,1,2015,85492,2015-2018,Fund
Darbar Arts Culture Heritage Trust,1,2015,126715,2015-2018,Fund
darts (Doncaster Community Arts),1,2015,130881,2015-2018,Fund
Dash Arts Ltd,1,2015,90000,2015-2018,Fund
De La Warr Pavilion,2,2015,508430,2015-2018,Fund
Deafinitely Theatre,1,2015,162110,2015-2018,Fund
Déda,2,2015,238373,2015-2018,Fund
Dedalus Limited,1,2015,40000,2015-2018,Fund
Derby Museums,2,2015,854066,2015-2018,Fund
Derby QUAD Ltd,2,2015,457753,2015-2018,Fund
Design Museum,1,2015,170000,2015-2018,Fund
Disability Arts in Shropshire,1,2015,70405,2015-2018,Fund
Disability Arts Online,1,2015,0,2015-2018,Fund
Diverse City,2,2015,0,2015-2018,Fund
Doncaster Heritage Services,1,2015,0,2015-2018,Fund
Donmar Warehouse Projects Ltd,2,2015,504619,2015-2018,Fund
Doorstep Arts,1,2015,0,2015-2018,Fund
Drake Music,1,2015,194045,2015-2018,Fund
Drawing Room,1,2015,50288,2015-2018,Fund
dreamthinkspeak,1,2015,150927,2015-2018,Fund
Duckie,1,2015,142492,2015-2018,Fund
Durham County Council,2,2015,415000,2015-2018,Fund
East London Dance,1,2015,241391,2015-2018,Fund
East Midlands Jazz CIC,1,2015,77446,2015-2018,Fund
East Street Arts,1,2015,184960,2015-2018,Fund
East Street Arts,SSO,2015,0,2015-2018,Fund
Eastern Angles Theatre Company Ltd,1,2015,220402,2015-2018,Fund
Eastside Educational Trust,1,2015,50788,2015-2018,Fund
Eclipse Theatre Company Ltd,1,2015,151017,2015-2018,Fund
Eden Arts,1,2015,100000,2015-2018,Fund
emccan CIC,1,2015,150725,2015-2018,Fund
Emergency Exit Arts,1,2015,117924,2015-2018,Fund
English Folk Dance and Song Society,2,2015,432046,2015-2018,Fund
English Folk Expo,SSO,2015,0,2015-2018,Fund
English National Ballet,3,2015,6214000,2015-2018,Fund
English National Opera,3,2015,12380000,2015-2018,Fund
English PEN,1,2015,229984,2015-2018,Fund
English Stage Company Limited,3,2015,2311234,2015-2018,Fund
English Touring Opera Ltd,3,2015,1743322,2015-2018,Fund
English Touring Theatre Ltd,2,2015,679794,2015-2018,Fund
Entelechy Arts Ltd,1,2015,80348,2015-2018,Fund
Essex Cultural Diversity Project,1,2015,0,2015-2018,Fund
Ex Cathedra Ltd,1,2015,57681,2015-2018,Fund
Exeter City Council,2,2015,1031958,2015-2018,Fund
Exeter Northcott Theatre,1,2015,125000,2015-2018,Fund
Exeter Phoenix,1,2015,125725,2015-2018,Fund
Extant,1,2015,119000,2015-2018,Fund
Eye Music Trust,1,2015,102205,2015-2018,Fund
Fabrica,1,2015,177575,2015-2018,Fund
FACT,3,2015,1005909,2015-2018,Fund
Farnham Maltings Association,2,2015,785780,2015-2018,Fund
Fevered Sleep,1,2015,201160,2015-2018,Fund
FIERCE! Festival,1,2015,130611,2015-2018,Fund
Film and Video Umbrella,2,2015,379321,2015-2018,Fund
Film London,2,2015,321904,2015-2018,Fund
Firstsite Ltd,2,2015,814527,2015-2018,Fund
Flatpack Projects,1,2015,0,2015-2018,Fund
Focal Point Gallery,1,2015,186384,2015-2018,Fund
Forced Entertainment Ltd,1,2015,255393,2015-2018,Fund
Forma Arts and Media Limited,2,2015,259677,2015-2018,Fund
Forward Arts Foundation,1,2015,47914,2015-2018,Fund
Foundation for Community Dance t/a People Dancing,1,2015,190095,2015-2018,Fund
Frantic Theatre Company Ltd,1,2015,221189,2015-2018,Fund
Free Word,1,2015,239567,2015-2018,Fund
Freedom Festival Arts Trust,1,2015,166666,2015-2018,Fund
Freedom Studios,1,2015,140949,2015-2018,Fund
Friction Arts,1,2015,0,2015-2018,Fund
Fuel Productions,1,2015,201160,2015-2018,Fund
Furtherfield.org,1,2015,78388,2015-2018,Fund
Future Everything CIC,1,2015,81452,2015-2018,Fund
Gecko Theatre,1,2015,220401,2015-2018,Fund
Gem Arts,1,2015,120000,2015-2018,Fund
Generator North East,1,2015,156050,2015-2018,Fund
Global Grooves,1,2015,0,2015-2018,Fund
Gloucestershire Everyman Theatre Ltd,2,2015,377546,2015-2018,Fund
Glyndebourne Productions Ltd,3,2015,1629054,2015-2018,Fund
Goole Town Council,1,2015,68995,2015-2018,Fund
Graeae Theatre Company Ltd,2,2015,564399,2015-2018,Fund
Grand Union,1,2015,0,2015-2018,Fund
Great Georges Community Cultural Project Ltd,1,2015,110000,2015-2018,Fund
Greater Manchester Arts Centre Ltd,3,2015,1297513,2015-2018,Fund
Greenwich+Docklands Festivals,1,2015,251449,2015-2018,Fund
Grimm & Co,1,2015,0,2015-2018,Fund
Grizedale Arts,1,2015,197693,2015-2018,Fund
Grundy Art Gallery,1,2015,43122,2015-2018,Fund
Gulbenkian Theatre,2,2015,220000,2015-2018,Fund
hÅb,1,2015,70405,2015-2018,Fund
Hackney Empire Ltd,2,2015,368514,2015-2018,Fund
Half Moon Young People's Theatre,1,2015,217451,2015-2018,Fund
Halle Concerts Society,3,2015,2083674,2015-2018,Fund
Hampstead Theatre Ltd,2,2015,874607,2015-2018,Fund
Harrogate Theatre,1,2015,140909,2015-2018,Fund
Havering Theatre Trust,2,2015,277032,2015-2018,Fund
Headlong Theatre Ltd,2,2015,679794,2015-2018,Fund
Heads Together Productions Limited,1,2015,46605,2015-2018,Fund
Heart n Soul,2,2015,259395,2015-2018,Fund
Heart of Glass,2,2015,0,2015-2018,Fund
Helix Arts Ltd,1,2015,108341,2015-2018,Fund
Higher Rhythm Ltd,1,2015,54000,2015-2018,Fund
Highlights Productions,1,2015,119800,2015-2018,Fund
HighTide Festival Productions LTD,1,2015,191654,2015-2018,Fund
Hofesh Shechter Company,2,2015,383307,2015-2018,Fund
Home Live Art,1,2015,75434,2015-2018,Fund
Homotopia Limited,1,2015,80000,2015-2018,Fund
Hoot Creative Arts,1,2015,40165,2015-2018,Fund
Horniman Museum and Gardens,2,2015,946678,2015-2018,Fund
Hounslow Arts Trust Ltd,1,2015,100579,2015-2018,Fund
Huddersfield Contemporary Music Festival,1,2015,241627,2015-2018,Fund
Hull City Council,2,2015,841409,2015-2018,Fund
Hull Truck Theatre,2,2015,790680,2015-2018,Fund
Ikon Gallery,3,2015,1009728,2015-2018,Fund
Ilkley Literature Festival Ltd,1,2015,137424,2015-2018,Fund
ILUVLIVE,1,2015,103856,2015-2018,Fund
imitating the dog,1,2015,0,2015-2018,Fund
Impressions Gallery of Photography Limited,1,2015,202281,2015-2018,Fund
Improbable,1,2015,216533,2015-2018,Fund
In Between Time,1,2015,191101,2015-2018,Fund
Index on Censorship,SSO,2015,43122,2015-2018,Fund
Inner City Music Ltd,1,2015,94958,2015-2018,Fund
Inpress Ltd,SSO,2015,133488,2015-2018,Fund
In-Situ,1,2015,0,2015-2018,Fund
Institute of Contemporary Arts,2,2015,862441,2015-2018,Fund
Institute of Fundraising,SSO,2015,0,2015-2018,Fund
Institute of International Visual Arts,1,2015,228344,2015-2018,Fund
International Curators Forum,1,2015,0,2015-2018,Fund
Interplay Theatre Trust,1,2015,151017,2015-2018,Fund
Intoart,1,2015,92798,2015-2018,Fund
Invisible Dust,1,2015,0,2015-2018,Fund
Invisible Flock Co,1,2015,0,2015-2018,Fund
IOU Ltd,1,2015,185000,2015-2018,Fund
Ironbridge Gorge Museum Trust,2,2015,736164,2015-2018,Fund
Ironbridge Gorge Museum Trust,SSO,2015,302976,2015-2018,Fund
ISAN,SSO,2015,88442,2015-2018,Fund
Jacksons Lane,1,2015,129747,2015-2018,Fund
Jasmin Vardimon Dance Company,2,2015,289567,2015-2018,Fund
Jazz North,SSO,2015,190000,2015-2018,Fund
Jazz re:freshed,1,2015,95795,2015-2018,Fund
Jerwood Gallery,1,2015,0,2015-2018,Fund
Jewish Museum London,1,2015,0,2015-2018,Fund
J-Night,1,2015,68749,2015-2018,Fund
John Hansard Gallery,2,2015,447511,2015-2018,Fund
Junction Arts Limited,1,2015,100579,2015-2018,Fund
Junction CDC Ltd,2,2015,587418,2015-2018,Fund
Kala Sangam - The Academy of South Asian Performing Arts,1,2015,100000,2015-2018,Fund
Kaleider Limited,1,2015,110000,2015-2018,Fund
Kali Theatre Co.,1,2015,196500,2015-2018,Fund
KARST,1,2015,0,2015-2018,Fund
Kendal Brewery Arts Centre,2,2015,321854,2015-2018,Fund
Kettle's Yard,2,2015,148757,2015-2018,Fund
Kids in Museums,SSO,2015,0,2015-2018,Fund
Kinetika Bloco,1,2015,0,2015-2018,Fund
Kinetika People,1,2015,98845,2015-2018,Fund
Kirklees Theatre Trust,1,2015,148531,2015-2018,Fund
Kneehigh Theatre Trust,2,2015,354672,2015-2018,Fund
Knowle West Media Centre,1,2015,90522,2015-2018,Fund
Koestler Trust,1,2015,75000,2015-2018,Fund
Lakes Arts Festivals Ltd,1,2015,0,2015-2018,Fund
Lancaster Arts at Lancaster University,1,2015,103053,2015-2018,Fund
Lapworth Museum of Geology,1,2015,0,2015-2018,Fund
Ledbury Poetry Festival,1,2015,53065,2015-2018,Fund
Leeds Museums and Galleries,3,2015,1590154,2015-2018,Fund
Leeds Theatre Trust Limited,3,2015,1508104,2015-2018,Fund
Leicester Arts Centre Limited,1,2015,80463,2015-2018,Fund
Leicester City Council,2,2015,0,2015-2018,Fund
Leicester Dance Theatre Limited,2,2015,0,2015-2018,Fund
Leicester Print Workshop,1,2015,70290,2015-2018,Fund
Leicester Theatre Trust Ltd,3,2015,1914029,2015-2018,Fund
Leicestershire County Council,SSO,2015,298179,2015-2018,Fund
Level Centre Ltd,1,2015,138800,2015-2018,Fund
