Applicant Name,Funding Band,Year,Amount,Period,Type
Community Arts North West,1,2016,191101,2015-2018,Fund
Community Music Ltd,1,2016,133961,2015-2018,Fund
Company Chameleon,1,2016,196235,2015-2018,Fund
Compton Verney House Trust,1,2016,0,2015-2018,Fund
Coney Ltd,1,2016,122828,2015-2018,Fund
Contemporary Art Society,1,2016,168324,2015-2018,Fund
Contemporary Dance Trust,3,2016,1793985,2015-2018,Fund
Continental Drifts,1,2016,119996,2015-2018,Fund
Corali,1,2016,0,2015-2018,Fund
Corby Cube Theatre Trust,1,2016,140811,2015-2018,Fund
Corn Exchange (Newbury) Trust,1,2016,235000,2015-2018,Fund
Cornwall Museums Partnership,2,2016,500000,2015-2018,Fund
Counterpoints Arts,1,2016,80000,2015-2018,Fund
Crafts Council,3,2016,2503853,2015-2018,Fund
Craftspace,1,2016,211553,2015-2018,Fund
Create Gloucestershire,SSO,2016,0,2015-2018,Fund
Create London,1,2016,150000,2015-2018,Fund
Create Studios Digital Media CIC,1,2016,0,2015-2018,Fund
Creative & Cultural Skills,SSO,2016,270000,2015-2018,Fund
Creative Arts East,1,2016,150000,2015-2018,Fund
Creative Foundation,2,2016,0,2015-2018,Fund
Creative Kernow Ltd,1,2016,212675,2015-2018,Fund
Creative Sector Services CIC,SSO,2016,0,2015-2018,Fund
Creative Skillset,SSO,2016,0,2015-2018,Fund
Creativity Works,1,2016,90522,2015-2018,Fund
Crescent Arts,1,2016,69788,2015-2018,Fund
Crying Out Loud,1,2016,211217,2015-2018,Fund
Cubitt Artists Limited,1,2016,112095,2015-2018,Fund
Culture Coventry,2,2016,0,2015-2018,Fund
Culture Squared CIC,2,2016,0,2015-2018,Fund
"Culture, Learning and Libraries (Midlands) - Library Service",1,2016,0,2015-2018,Fund
Culture24,SSO,2016,0,2015-2018,Fund
CultureMix Arts Ltd,1,2016,0,2015-2018,Fund
Cumbria Theatre Trust,2,2016,604066,2015-2018,Fund
curious directive,1,2016,0,2015-2018,Fund
Curious Minds,SSO,2016,1335323,2015-2018,Fund
DaDaFest,1,2016,193052,2015-2018,Fund
Daily Life Ltd,1,2016,88510,2015-2018,Fund
Dance City,2,2016,553856,2015-2018,Fund
Dance Consortium,2,2016,489367,2015-2018,Fund
Dance Umbrella,2,2016,352028,2015-2018,Fund
Dance United Yorkshire,1,2016,90000,2015-2018,Fund
Dance4,2,2016,471014,2015-2018,Fund
DanceEast,2,2016,810153,2015-2018,Fund
Dancefest,1,2016,85492,2015-2018,Fund
Darbar Arts Culture Heritage Trust,1,2016,126715,2015-2018,Fund
darts (Doncaster Community Arts),1,2016,130881,2015-2018,Fund
Dash Arts Ltd,1,2016,90000,2015-2018,Fund
De La Warr Pavilion,2,2016,508430,2015-2018,Fund
Deafinitely Theatre,1,2016,162110,2015-2018,Fund
Déda,2,2016,238373,2015-2018,Fund
Dedalus Limited,1,2016,40000,2015-2018,Fund
Derby Museums,2,2016,854066,2015-2018,Fund
Derby QUAD Ltd,2,2016,457753,2015-2018,Fund
Design Museum,1,2016,170000,2015-2018,Fund
Disability Arts in Shropshire,1,2016,70405,2015-2018,Fund
Disability Arts Online,1,2016,0,2015-2018,Fund
Diverse City,2,2016,0,2015-2018,Fund
Doncaster Heritage Services,1,2016,0,2015-2018,Fund
Donmar Warehouse Projects Ltd,2,2016,504619,2015-2018,Fund
Doorstep Arts,1,2016,0,2015-2018,Fund
Drake Music,1,2016,194045,2015-2018,Fund
Drawing Room,1,2016,50288,2015-2018,Fund
dreamthinkspeak,1,2016,150927,2015-2018,Fund
Duckie,1,2016,142492,2015-2018,Fund
Durham County Council,2,2016,415000,2015-2018,Fund
East London Dance,1,2016,241391,2015-2018,Fund
East Midlands Jazz CIC,1,2016,77446,2015-2018,Fund
East Street Arts,1,2016,184960,2015-2018,Fund
East Street Arts,SSO,2016,0,2015-2018,Fund
Eastern Angles Theatre Company Ltd,1,2016,220402,2015-2018,Fund
Eastside Educational Trust,1,2016,50788,2015-2018,Fund
Eclipse Theatre Company Ltd,1,2016,151017,2015-2018,Fund
Eden Arts,1,2016,100000,2015-2018,Fund
emccan CIC,1,2016,150725,2015-2018,Fund
Emergency Exit Arts,1,2016,117924,2015-2018,Fund
English Folk Dance and Song Society,2,2016,432046,2015-2018,Fund
English Folk Expo,SSO,2016,0,2015-2018,Fund
English National Ballet,3,2016,6214000,2015-2018,Fund
English National Opera,3,2016,12380000,2015-2018,Fund
English PEN,1,2016,229984,2015-2018,Fund
English Stage Company Limited,3,2016,2311234,2015-2018,Fund
English Touring Opera Ltd,3,2016,1743322,2015-2018,Fund
English Touring Theatre Ltd,2,2016,679794,2015-2018,Fund
Entelechy Arts Ltd,1,2016,80348,2015-2018,Fund
Essex Cultural Diversity Project,1,2016,0,2015-2018,Fund
Ex Cathedra Ltd,1,2016,57681,2015-2018,Fund
Exeter City Council,2,2016,1031958,2015-2018,Fund
Exeter Northcott Theatre,1,2016,125000,2015-2018,Fund
Exeter Phoenix,1,2016,125725,2015-2018,Fund
Extant,1,2016,119000,2015-2018,Fund
Eye Music Trust,1,2016,102205,2015-2018,Fund
Fabrica,1,2016,177575,2015-2018,Fund
FACT,3,2016,1005909,2015-2018,Fund
Farnham Maltings Association,2,2016,785780,2015-2018,Fund
Fevered Sleep,1,2016,201160,2015-2018,Fund
FIERCE! Festival,1,2016,130611,2015-2018,Fund
Film and Video Umbrella,2,2016,379321,2015-2018,Fund
Film London,2,2016,321904,2015-2018,Fund
Firstsite Ltd,2,2016,814527,2015-2018,Fund
Flatpack Projects,1,2016,0,2015-2018,Fund
Focal Point Gallery,1,2016,186384,2015-2018,Fund
Forced Entertainment Ltd,1,2016,255393,2015-2018,Fund
Forma Arts and Media Limited,2,2016,259677,2015-2018,Fund
Forward Arts Foundation,1,2016,47914,2015-2018,Fund
Foundation for Community Dance t/a People Dancing,1,2016,190095,2015-2018,Fund
Frantic Theatre Company Ltd,1,2016,221189,2015-2018,Fund
Free Word,1,2016,239567,2015-2018,Fund
Freedom Festival Arts Trust,1,2016,166666,2015-2018,Fund
Freedom Studios,1,2016,140949,2015-2018,Fund
Friction Arts,1,2016,0,2015-2018,Fund
Fuel Productions,1,2016,201160,2015-2018,Fund
Furtherfield.org,1,2016,78388,2015-2018,Fund
Future Everything CIC,1,2016,81452,2015-2018,Fund
Gecko Theatre,1,2016,220401,2015-2018,Fund
Gem Arts,1,2016,120000,2015-2018,Fund
Generator North East,1,2016,156050,2015-2018,Fund
Global Grooves,1,2016,0,2015-2018,Fund
Gloucestershire Everyman Theatre Ltd,2,2016,377546,2015-2018,Fund
Glyndebourne Productions Ltd,3,2016,1629054,2015-2018,Fund
Goole Town Council,1,2016,68995,2015-2018,Fund
Graeae Theatre Company Ltd,2,2016,564399,2015-2018,Fund
Grand Union,1,2016,0,2015-2018,Fund
Great Georges Community Cultural Project Ltd,1,2016,110000,2015-2018,Fund
Greater Manchester Arts Centre Ltd,3,2016,1297513,2015-2018,Fund
Greenwich+Docklands Festivals,1,2016,251449,2015-2018,Fund
Grimm & Co,1,2016,0,2015-2018,Fund
Grizedale Arts,1,2016,197693,2015-2018,Fund
Grundy Art Gallery,1,2016,43122,2015-2018,Fund
Gulbenkian Theatre,2,2016,220000,2015-2018,Fund
hÅb,1,2016,70405,2015-2018,Fund
Hackney Empire Ltd,2,2016,368514,2015-2018,Fund
Half Moon Young People's Theatre,1,2016,217451,2015-2018,Fund
Halle Concerts Society,3,2016,2083674,2015-2018,Fund
Hampstead Theatre Ltd,2,2016,874607,2015-2018,Fund
Harrogate Theatre,1,2016,140909,2015-2018,Fund
Havering Theatre Trust,2,2016,277032,2015-2018,Fund
Headlong Theatre Ltd,2,2016,679794,2015-2018,Fund
Heads Together Productions Limited,1,2016,46605,2015-2018,Fund
Heart n Soul,2,2016,259395,2015-2018,Fund
Heart of Glass,2,2016,0,2015-2018,Fund
Helix Arts Ltd,1,2016,108341,2015-2018,Fund
Higher Rhythm Ltd,1,2016,54000,2015-2018,Fund
Highlights Productions,1,2016,119800,2015-2018,Fund
HighTide Festival Productions LTD,1,2016,191654,2015-2018,Fund
Hofesh Shechter Company,2,2016,383307,2015-2018,Fund
Home Live Art,1,2016,75434,2015-2018,Fund
Homotopia Limited,1,2016,80000,2015-2018,Fund
Hoot Creative Arts,1,2016,40165,2015-2018,Fund
Horniman Museum and Gardens,2,2016,946678,2015-2018,Fund
Hounslow Arts Trust Ltd,1,2016,100579,2015-2018,Fund
Huddersfield Contemporary Music Festival,1,2016,241627,2015-2018,Fund
Hull City Council,2,2016,841409,2015-2018,Fund
Hull Truck Theatre,2,2016,790680,2015-2018,Fund
Ikon Gallery,3,2016,1009728,2015-2018,Fund
Ilkley Literature Festival Ltd,1,2016,137424,2015-2018,Fund
ILUVLIVE,1,2016,103856,2015-2018,Fund
imitating the dog,1,2016,0,2015-2018,Fund
Impressions Gallery of Photography Limited,1,2016,202281,2015-2018,Fund
Improbable,1,2016,216533,2015-2018,Fund
In Between Time,1,2016,191101,2015-2018,Fund
Index on Censorship,SSO,2016,43122,2015-2018,Fund
Inner City Music Ltd,1,2016,94958,2015-2018,Fund
Inpress Ltd,SSO,2016,133488,2015-2018,Fund
In-Situ,1,2016,0,2015-2018,Fund
Institute of Contemporary Arts,2,2016,862441,2015-2018,Fund
Institute of Fundraising,SSO,2016,0,2015-2018,Fund
Institute of International Visual Arts,1,2016,228344,2015-2018,Fund
International Curators Forum,1,2016,0,2015-2018,Fund
Interplay Theatre Trust,1,2016,151017,2015-2018,Fund
Intoart,1,2016,92798,2015-2018,Fund
Invisible Dust,1,2016,0,2015-2018,Fund
Invisible Flock Co,1,2016,0,2015-2018,Fund
IOU Ltd,1,2016,185000,2015-2018,Fund
Ironbridge Gorge Museum Trust,2,2016,736164,2015-2018,Fund
Ironbridge Gorge Museum Trust,SSO,2016,302976,2015-2018,Fund
ISAN,SSO,2016,88442,2015-2018,Fund
Jacksons Lane,1,2016,129747,2015-2018,Fund
Jasmin Vardimon Dance Company,2,2016,289567,2015-2018,Fund
Jazz North,SSO,2016,190000,2015-2018,Fund
Jazz re:freshed,1,2016,95795,2015-2018,Fund
Jerwood Gallery,1,2016,0,2015-2018,Fund
Jewish Museum London,1,2016,0,2015-2018,Fund
J-Night,1,2016,68749,2015-2018,Fund
John Hansard Gallery,2,2016,447511,2015-2018,Fund
Junction Arts Limited,1,2016,100579,2015-2018,Fund
Junction CDC Ltd,2,2016,587418,2015-2018,Fund
Kala Sangam - The Academy of South Asian Performing Arts,1,2016,100000,2015-2018,Fund
Kaleider Limited,1,2016,110000,2015-2018,Fund
Kali Theatre Co.,1,2016,196500,2015-2018,Fund
KARST,1,2016,0,2015-2018,Fund
Kendal Brewery Arts Centre,2,2016,321854,2015-2018,Fund
Kettle's Yard,2,2016,148757,2015-2018,Fund
Kids in Museums,SSO,2016,0,2015-2018,Fund
Kinetika Bloco,1,2016,0,2015-2018,Fund
Kinetika People,1,2016,98845,2015-2018,Fund
Kirklees Theatre Trust,1,2016,148531,2015-2018,Fund
Kneehigh Theatre Trust,2,2016,354672,2015-2018,Fund
Knowle West Media Centre,1,2016,90522,2015-2018,Fund
Koestler Trust,1,2016,75000,2015-2018,Fund
Lakes Arts Festivals Ltd,1,2016,0,2015-2018,Fund
Lancaster Arts at Lancaster University,1,2016,103053,2015-2018,Fund
Lapworth Museum of Geology,1,2016,0,2015-2018,Fund
Ledbury Poetry Festival,1,2016,53065,2015-2018,Fund
Leeds Museums and Galleries,3,2016,1590154,2015-2018,Fund
Leeds Theatre Trust Limited,3,2016,1508104,2015-2018,Fund
Leicester Arts Centre Limited,1,2016,80463,2015-2018,Fund
Leicester City Council,2,2016,0,2015-2018,Fund
Leicester Dance Theatre Limited,2,2016,0,2015-2018,Fund
Leicester Print Workshop,1,2016,70290,2015-2018,Fund
Leicester Theatre Trust Ltd,3,2016,1914029,2015-2018,Fund
Leicestershire County Council,SSO,2016,298179,2015-2018,Fund
Level Centre Ltd,1,2016,138800,2015-2018,Fund
Libraries Unlimited South West,1,2016,0,2015-2018,Fund
Lighthouse Arts and Training Ltd,1,2016,114992,2015-2018,Fund
Lincoln Arts Trust Limited,1,2016,207193,2015-2018,Fund
Lincolnshire County Council,1,2016,71411,2015-2018,Fund
Literature Works,1,2016,96556,2015-2018,Fund
Littleworld Ltd t/a Horse and Bamboo Theatre,1,2016,123632,2015-2018,Fund
Live & Local Ltd,2,2016,291464,2015-2018,Fund
Live Art Development Agency,1,2016,235846,2015-2018,Fund
Live Theatre Winchester Trust,1,2016,134158,2015-2018,Fund
Liverpool & Merseyside Theatres Trust Ltd,3,2016,1649977,2015-2018,Fund
Liverpool Arab Arts Festival,1,2016,110000,2015-2018,Fund
Liverpool Biennial of Contemporary Art Ltd,2,2016,788355,2015-2018,Fund
Liverpool City Council Culture Liverpool,2,2016,0,2015-2018,Fund
London Arts in Health Forum,1,2016,65662,2015-2018,Fund
London Borough of Barking and Dagenham,1,2016,0,2015-2018,Fund
London Borough of Waltham Forest - WILLIAM MORRIS GALLERY,1,2016,60000,2015-2018,Fund
London International Festival of Theatre,2,2016,452608,2015-2018,Fund
London International Mime Festival,1,2016,201160,2015-2018,Fund
London Philharmonic Orchestra,3,2016,2042222,2015-2018,Fund
London Print Studio Ltd,1,2016,190891,2015-2018,Fund
London Symphony Orchestra,3,2016,2206050,2015-2018,Fund
London Transport Museum,1,2016,0,2015-2018,Fund
Loud In Libraries CIC,1,2016,0,2015-2018,Fund
Ludus Dance,1,2016,95644,2015-2018,Fund
Luton Carnival Arts Development Trust,1,2016,0,2015-2018,Fund
Luton Cultural Services Trust,1,2016,0,2015-2018,Fund
LUX,1,2016,202122,2015-2018,Fund
M6 THEATRE COMPANY LIMITED,1,2016,199320,2015-2018,Fund
Magna Vitae,1,2016,150000,2015-2018,Fund
Mahogany Community Ventures Limited,1,2016,116637,2015-2018,Fund
Manchester Camerata Limited,1,2016,156620,2015-2018,Fund
Manchester City Galleries,SSO,2016,320150,2015-2018,Fund
Manchester City Galleries,3,2016,1597659,2015-2018,Fund
Manchester Craft And Design,1,2016,40000,2015-2018,Fund
Manchester Jazz Festival,1,2016,90521,2015-2018,Fund
Manchester Jewish Museum,1,2016,0,2015-2018,Fund
Manchester Literature Festival,1,2016,76661,2015-2018,Fund
Manchester Young People's Theatre trading as Contact,2,2016,916435,2015-2018,Fund
Mandinga Arts,1,2016,55319,2015-2018,Fund
Matt's Gallery Ltd,1,2016,153385,2015-2018,Fund
MAYK Theatre CIC,1,2016,90000,2015-2018,Fund
Meadow Arts,1,2016,160927,2015-2018,Fund
Mercury Musical Developments,SSO,2016,124467,2015-2018,Fund
Metal Culture Ltd,2,2016,565378,2015-2018,Fund
Metro-Boulot-Dodo Limited,1,2016,0,2015-2018,Fund
MeWe Foundation,SSO,2016,0,2015-2018,Fund
Middle Child,1,2016,0,2015-2018,Fund
Middlesbrough Town Hall,1,2016,0,2015-2018,Fund
Midlands Arts Centre,2,2016,739146,2015-2018,Fund
MIF,3,2016,729134,2015-2018,Fund
Mikron Theatre Company,1,2016,0,2015-2018,Fund
Milap Festival Trust,2,2016,419994,2015-2018,Fund
Milton Keynes Arts Centre LTD,1,2016,0,2015-2018,Fund
Mimbre,1,2016,125773,2015-2018,Fund
Mind the Gap,1,2016,206389,2015-2018,Fund
Miracle Theatre Trust Ltd,1,2016,95000,2015-2018,Fund
MK Gallery,2,2016,383307,2015-2018,Fund
Modern Art Oxford,2,2016,892347,2015-2018,Fund
Modern Masterpieces,1,2016,200153,2015-2018,Fund
Modern Poetry in Translation,1,2016,40000,2015-2018,Fund
More Music,1,2016,105608,2015-2018,Fund
Motionhouse,2,2016,338806,2015-2018,Fund
Multistory,1,2016,140811,2015-2018,Fund
Museum of East Anglian Life,1,2016,0,2015-2018,Fund
Museum of English Rural Life and Reading Museum Partnership,1,2016,0,2015-2018,Fund
Museum of London,SSO,2016,244820,2015-2018,Fund
Museum of London,3,2016,1100000,2015-2018,Fund
Music for Youth,1,2016,171840,2015-2018,Fund
Music in the Round,1,2016,142962,2015-2018,Fund
Musiko Musika,1,2016,72914,2015-2018,Fund
Mytime Active,1,2016,0,2015-2018,Fund
National Association for Gallery Education (engage),SSO,2016,229806,2015-2018,Fund
National Centre for Circus Arts,2,2016,341867,2015-2018,Fund
National Criminal Justice Arts Alliance,SSO,2016,0,2015-2018,Fund
National Horseracing Museum,1,2016,0,2015-2018,Fund
National Justice Museum,1,2016,0,2015-2018,Fund
National Opera Studio,1,2016,168221,2015-2018,Fund
National Rural Touring Forum,1,2016,86583,2015-2018,Fund
National Student Drama Festival,1,2016,56542,2015-2018,Fund
National Theatre,3,2016,17217000,2015-2018,Fund
National Youth Choirs of Great Britain,1,2016,107000,2015-2018,Fund
National Youth Jazz Collective,1,2016,124690,2015-2018,Fund
National Youth Jazz Orchestra,1,2016,125000,2015-2018,Fund
National Youth Orchestra of Great Britain,1,2016,250000,2015-2018,Fund
National Youth Theatre of Great Britain,2,2016,305769,2015-2018,Fund
New Art Exchange Ltd,2,2016,502897,2015-2018,Fund
New Contemporaries (1988) Ltd,1,2016,117789,2015-2018,Fund
New International Encounter,1,2016,153323,2015-2018,Fund
New Perspectives Theatre Company,2,2016,302744,2015-2018,Fund
New Wolsey Theatre Company Ltd,2,2016,853028,2015-2018,Fund
New Writing North,2,2016,297123,2015-2018,Fund
New Writing South,1,2016,93191,2015-2018,Fund
Newhampton Arts Centre,1,2016,0,2015-2018,Fund
Newlyn Art Gallery Ltd,2,2016,361761,2015-2018,Fund
Nine Arches Press,1,2016,0,2015-2018,Fund
NMC Recordings Ltd.,1,2016,40000,2015-2018,Fund
NN Contemporary Art,1,2016,0,2015-2018,Fund
no.w.here arts limited,1,2016,55419,2015-2018,Fund
NoFit State Community Circus Ltd,1,2016,201159,2015-2018,Fund
Norfolk and Norwich Festival Trust,SSO,2016,500000,2015-2018,Fund
Norfolk and Norwich Festival Trust,2,2016,814527,2015-2018,Fund
Norfolk Museums Service,SSO,2016,436282,2015-2018,Fund
Norfolk Museums Service,3,2016,1203170,2015-2018,Fund
North East Theatre Trust Ltd,2,2016,626723,2015-2018,Fund
North Kesteven District Council,1,2016,201159,2015-2018,Fund
North Lincolnshire Council 20-21 Visual Arts Centre,1,2016,74744,2015-2018,Fund
North Music Trust,3,2016,3512122,2015-2018,Fund
Northampton Theatres Trust,2,2016,766416,2015-2018,Fund
Northern Ballet Limited,3,2016,3112000,2015-2018,Fund
Northern Broadsides Theatre Company,2,2016,255287,2015-2018,Fund
Northern Print,1,2016,106647,2015-2018,Fund
Northern School of Contemporary Dance,1,2016,0,2015-2018,Fund
Northern Stage (Theatrical Productions) Ltd,3,2016,1562496,2015-2018,Fund
Norwich Arts Centre,1,2016,182071,2015-2018,Fund
Nottingham City Museums and Galleries,2,2016,0,2015-2018,Fund
Nottingham Contemporary,3,2016,1005795,2015-2018,Fund
Nottingham Media Centre Ltd,1,2016,100579,2015-2018,Fund
Nottingham Playhouse,3,2016,1354807,2015-2018,Fund
November Club,1,2016,100678,2015-2018,Fund
NTS Live,1,2016,0,2015-2018,Fund
Nutkhut,1,2016,100924,2015-2018,Fund
Ockham's Razor,1,2016,181044,2015-2018,Fund
Octopus Collective Ltd.,1,2016,40231,2015-2018,Fund
Oily Cart,2,2016,286576,2015-2018,Fund
Oldham Coliseum Theatre,2,2016,604066,2015-2018,Fund
One Dance UK,SSO,2016,0,2015-2018,Fund
Open Clasp Theatre Company,1,2016,100000,2015-2018,Fund
Open Eye gallery,1,2016,192301,2015-2018,Fund
Open School East,1,2016,0,2015-2018,Fund
Open Theatre Company,1,2016,0,2015-2018,Fund
OpenUp Music,1,2016,0,2015-2018,Fund
Opera North Limited,3,2016,10386000,2015-2018,Fund
Orchestra of the Age of Enlightenment,1,2016,203904,2015-2018,Fund
Orchestras Live,2,2016,479134,2015-2018,Fund
OTO Projects CIC,1,2016,74933,2015-2018,Fund
Otolith Collective Ltd,1,2016,50290,2015-2018,Fund
Out of Joint,2,2016,426352,2015-2018,Fund
Outside In,1,2016,0,2015-2018,Fund
Oxford Contemporary Music,1,2016,185783,2015-2018,Fund
Oxford Playhouse Trust,2,2016,379474,2015-2018,Fund
Pagoda Arts,1,2016,44864,2015-2018,Fund
Paines Plough,2,2016,315620,2015-2018,Fund
Palace Theatre Watford Limited,2,2016,790570,2015-2018,Fund
Pallant House Gallery,1,2016,89119,2015-2018,Fund
Paraiso School of Samba,1,2016,60348,2015-2018,Fund
Paraorchestra and Friends,1,2016,0,2015-2018,Fund
Pavilion Dance South West Ltd,2,2016,386216,2015-2018,Fund
Peckham Platform Ltd,1,2016,50000,2015-2018,Fund
Peepal Tree Press,1,2016,112032,2015-2018,Fund
Peer UK,1,2016,52090,2015-2018,Fund
Pegasus Theatre Trust,2,2016,299973,2015-2018,Fund
Penned in the Margins,1,2016,45000,2015-2018,Fund
Pentabus Arts Ltd,1,2016,187331,2015-2018,Fund
People Express,1,2016,54312,2015-2018,Fund
People United,1,2016,81452,2015-2018,Fund
People's History Museum,2,2016,0,2015-2018,Fund
People's Palace Projects,1,2016,132145,2015-2018,Fund
Perfect Pitch Musicals Ltd,1,2016,107092,2015-2018,Fund
Performances Birmingham Limited,1,2016,80463,2015-2018,Fund
Peshkar,1,2016,75794,2015-2018,Fund
Philharmonia Limited,3,2016,2042222,2015-2018,Fund
Phoenix Dance Theatre,2,2016,428510,2015-2018,Fund
Photofusion,1,2016,0,2015-2018,Fund
Photoworks,2,2016,268315,2015-2018,Fund
Pilot Theatre Ltd,2,2016,329720,2015-2018,Fund
Pioneer Theatres Ltd t/a Theatre Royal Stratford East,3,2016,1105506,2015-2018,Fund
Plymouth Culture,SSO,2016,0,2015-2018,Fund
Plymouth Music Zone Ltd,1,2016,0,2015-2018,Fund
Pocklington Arts Centre,1,2016,0,2015-2018,Fund
PoemsOnTheUnderground,1,2016,52705,2015-2018,Fund
Poet in the City,1,2016,67079,2015-2018,Fund
Poetry London,1,2016,47913,2015-2018,Fund
Poetry Translation Centre Ltd,1,2016,124575,2015-2018,Fund
Polish Expats Association cic,1,2016,0,2015-2018,Fund
Polka Theatre,2,2016,570219,2015-2018,Fund
Poole Arts Trust Ltd,2,2016,342213,2015-2018,Fund
Pop Up Projects CIC,1,2016,85203,2015-2018,Fund
PopUp Initiative CIC (The NewBridge Project),1,2016,0,2015-2018,Fund
Portsmouth New Theatre Royal,1,2016,92951,2015-2018,Fund
Prema Arts Centre,1,2016,69258,2015-2018,Fund
Preston City Council,1,2016,0,2015-2018,Fund
Primary,1,2016,0,2015-2018,Fund
Prime Theatre,1,2016,87937,2015-2018,Fund
Prism Arts,1,2016,50613,2015-2018,Fund
Project Art Works,1,2016,93000,2015-2018,Fund
Project Phakama UK,1,2016,83101,2015-2018,Fund
Project Space Leeds,2,2016,0,2015-2018,Fund
Protein Dance Ltd,1,2016,203762,2015-2018,Fund
Proteus Theatre Company,1,2016,0,2015-2018,Fund
Psappha Limited,1,2016,82000,2015-2018,Fund
PUNCH RECORDS,2,2016,251449,2015-2018,Fund
Punchdrunk,1,2016,226304,2015-2018,Fund
Quarantine,1,2016,160927,2015-2018,Fund
Queen's Hall Arts,1,2016,118147,2015-2018,Fund
Rambert,3,2016,2237000,2015-2018,Fund
Raw Material Music and Media Education,1,2016,117234,2015-2018,Fund
Re:Bourne,3,2016,1294000,2015-2018,Fund
Readipop,1,2016,0,2015-2018,Fund
Real Ideas Organisation CIC,SSO,2016,875680,2015-2018,Fund
Real Ideas Organisation CIC,1,2016,0,2015-2018,Fund
Red Earth Theatre Limited,1,2016,100579,2015-2018,Fund
Red Ladder Theatre Company,1,2016,0,2015-2018,Fund
Redbridge Drama Centre,1,2016,65000,2015-2018,Fund
Redeye (North West Photography Network) Ltd,SSO,2016,87921,2015-2018,Fund
Resonance,1,2016,160277,2015-2018,Fund
Rich Mix Cultural Foundation,2,2016,301738,2015-2018,Fund
Rifco Arts,2,2016,295404,2015-2018,Fund
Ripon Museum Trust,1,2016,0,2015-2018,Fund
RJC Dance,1,2016,75224,2015-2018,Fund
Rosehill Arts Trust,1,2016,62287,2015-2018,Fund
Roses Theatre Trust,1,2016,85493,2015-2018,Fund
Rosetta Art Centre,1,2016,0,2015-2018,Fund
Rosie Kay Dance Company,1,2016,0,2015-2018,Fund
Rotherham Open Arts Renaissance (ROAR),1,2016,67079,2015-2018,Fund
Royal Court Liverpool Trust,1,2016,0,2015-2018,Fund
Royal Exchange Theatre Company Ltd,3,2016,2332000,2015-2018,Fund
Royal Liverpool Philharmonic,3,2016,2231646,2015-2018,Fund
Royal Opera House,3,2016,24772000,2015-2018,Fund
Royal Opera House,SSO,2016,726841,2015-2018,Fund
Royal Philharmonic Orchestra Ltd,2,2016,946394,2015-2018,Fund
Royal Shakespeare Company,3,2016,15447000,2015-2018,Fund
RTYDS Ltd,SSO,2016,0,2015-2018,Fund
Rural Arts North Yorkshire,1,2016,75508,2015-2018,Fund
Rural Media Charity,1,2016,0,2015-2018,Fund
Russell Maliphant Company,1,2016,0,2015-2018,Fund
Sadler's Wells,3,2016,2456153,2015-2018,Fund
Salisbury Arts Theatre Ltd,3,2016,844289,2015-2018,Fund
Sampad (South Asian Arts Development),1,2016,243905,2015-2018,Fund
Scarborough Theatre Trust Ltd,2,2016,637714,2015-2018,Fund
Serendipity,1,2016,0,2015-2018,Fund
Serious Events Limited,2,2016,452778,2015-2018,Fund
Serpentine Galleries,3,2016,1193725,2015-2018,Fund
"Seven Stories, The National Centre for Children's Books",2,2016,452608,2015-2018,Fund
Shademakers UK Carnival Club,1,2016,50290,2015-2018,Fund
Shakespeare Birthplace Trust,1,2016,0,2015-2018,Fund
Shape London,2,2016,286551,2015-2018,Fund
Sheffield Doc/Fest,1,2016,0,2015-2018,Fund
Sheffield Galleries & Museums Trust,2,2016,600000,2015-2018,Fund
Sheffield Theatres Trust Ltd,3,2016,1279865,2015-2018,Fund
Shobana Jeyasingh Dance Company,2,2016,258732,2015-2018,Fund
Shubbak: A Window on Contemporary Arab Culture,1,2016,0,2015-2018,Fund
SICK! Productions,1,2016,0,2015-2018,Fund
Sinfonietta Productions Limited,2,2016,499565,2015-2018,Fund
Siobhan Davies Dance,2,2016,582018,2015-2018,Fund
Site Gallery,2,2016,194106,2015-2018,Fund
Slung Low Limited,1,2016,99671,2015-2018,Fund
Small Green Shoots,1,2016,85323,2015-2018,Fund
Snape Maltings,3,2016,1403018,2015-2018,Fund
Society Of Chief Librarians,SSO,2016,0,2015-2018,Fund
Soft Touch Arts Ltd,1,2016,88510,2015-2018,Fund
Soho Theatre Company,2,2016,603478,2015-2018,Fund
Somerset Art Works,1,2016,0,2015-2018,Fund
Somerset Film and Video Ltd,1,2016,87453,2015-2018,Fund
Sonia Sabri Company,1,2016,125034,2015-2018,Fund
Sound UK Arts,1,2016,100580,2015-2018,Fund
SoundCity,1,2016,0,2015-2018,Fund
South Asian Arts-uk,1,2016,113766,2015-2018,Fund
South East Dance Ltd,2,2016,570169,2015-2018,Fund
South East Museum Development Programme,SSO,2016,511612,2015-2018,Fund
South London Gallery,2,2016,811415,2015-2018,Fund
South West Museum Development,SSO,2016,530444,2015-2018,Fund
Southampton City Council,1,2016,0,2015-2018,Fund
Southbank Centre,3,2016,19186000,2015-2018,Fund
Spare Tyre Theatre Company Ltd,1,2016,150870,2015-2018,Fund
Spike Island Artspace Ltd,2,2016,280000,2015-2018,Fund
Spitalfields Festival Ltd.,1,2016,70000,2015-2018,Fund
Spread the Word,1,2016,167696,2015-2018,Fund
Square Chapel Trust,1,2016,156050,2015-2018,Fund
ss Great Britain Trust,1,2016,0,2015-2018,Fund
St Helens Council Library Service,1,2016,0,2015-2018,Fund
