Applicant Name,Funding Band,Alternative Name,Area,ACE Region,ONS Region,Discipline,Portfolio funded in 2015-18?,Portfolio funding 15/16 - £,Portfolio funding 16/17 - £,Portfolio funding 17/18 - £,TOTAL Portfolio funding 15/18 - £,Portfolio grant 18/19 - £,Portfolio grant 19/20 - £,Portfolio grant 20/21 - £,Portfolio grant 21/22 - £,TOTAL Portfolio grant 18/22 - £,Funding Source (GIA or LOT),% Cash change between 17/18 and 18/19,Notes,Local Authority,Web address,Funding Source Description,Funding Band Description,Bridge Organisation,Technical Uplift,Technical Reduction,Museum Development
Action Transport Theatre,1,,North,North West,North West,Theatre,True,120696,120696,120696,362088,120696,120696,120696,120696,482784,GIA,0,,Cheshire West and Chester,http://www.actiontransporttheatre.org,Grant in Aid,Band 1,False,False,False,False
Activate Performing Arts Ltd,2,,South West,South West,South West,Combined arts,True,251422,251422,251422,754266,279250,279250,279250,279250,1117000,GIA,0.11068243829100079,"Technical Uplift - Organisation delivers biennial festival. For 2015-2018, funding awarded was for one festival. For 2018-2022, the technical uplift is for deliver of two festivals over a four year period.",West Dorset,http://www.activateperformingarts.org.uk,Grant in Aid,Band 2,False,True,False,False
Actors Touring Company,1,,London,London,London,Theatre,True,207773,207773,207773,623319,207773,207773,207773,207773,831092,LOT,0,,Westminster,http://www.atctheatre.com,National Lottery,Band 1,False,False,False,False
Africa Oye Limited,1,,North,North West,North West,Music,True,163448,163448,163448,490346,163449,163449,163449,163449,653796,GIA,1.1047681312265725e-06,,Liverpool,http://www.africaoye.com,Grant in Aid,Band 1,False,False,False,False
AIR in G (Arts in Rural Gloucestershire) Ltd,1,,South West,South West,West Midlands,Combined arts,True,42243,42243,42243,126729,42243,42243,42243,42243,168972,GIA,0,,"Herefordshire, County of",http://www.airing.co.uk,Grant in Aid,Band 1,False,False,False,False
Akademi,1,Akademi South Asian Dance UK,London,London,London,Dance,True,215000,215000,215000,645000,215000,215000,215000,215000,860000,GIA,0,,Camden,http://www.akademi.co.uk,Grant in Aid,Band 1,False,False,False,False
Akram Khan Dance Company,2,,London,London,London,Dance,True,500610,500610,500610,1501830,500610,500610,500610,500610,2002440,LOT,0,,Islington,http://www.akramkhancompany.net,National Lottery,Band 2,False,False,False,False
Albatross Arts Project,1,,Midlands,West Midlands,West Midlands,Theatre,True,40231,40231,40231,120695,40232,40232,40232,40232,160928,LOT,2.3766569112221718e-06,,Birmingham,http://geese.co.uk,National Lottery,Band 1,False,False,False,False
Almeida Theatre Company Limited,2,,London,London,London,Theatre,True,675499,675499,675499,2026497,675499,675499,675499,675499,2701996,GIA,0,,Islington,https://almeida.co.uk/,Grant in Aid,Band 2,False,False,False,False
Amber Film & Photography Collective,1,,North,North East,North East,Visual arts,False,0,0,0,0,120000,120000,120000,120000,480000,GIA,,,Newcastle upon Tyne,http://www.amber-online.com,Grant in Aid,Band 1,False,False,False,False
a-n The Artists Information Company,SSO,,National,North East,North East,Visual arts,True,212754,212754,212754,638262,212754,212754,212754,212754,851016,GIA,0,,Newcastle upon Tyne,http://www.a-n.co.uk,Grant in Aid,Sector Support Organisation,False,False,False,False
And Other Stories Publishing CIC,1,,North,Yorkshire,Yorkshire and The Humber,Literature,True,40000,40000,40000,120000,74000,74000,74000,74000,296000,GIA,0.85,,Sheffield,http://www.andotherstories.org,Grant in Aid,Band 1,False,False,False,False
Applause Rural Touring,1,,South East,South East,South East,Combined arts,False,0,0,0,0,145000,145000,145000,145000,580000,LOT,,,Tunbridge Wells,http://www.applause.org.uk,National Lottery,Band 1,False,False,False,False
